name,state,place_type,subtype,favorite,lon,lat
McDowell Mountain,AZ,camps,CP,FALSE,-111.722,33.684
McHood,AZ,camps,CP,FALSE,-110.645,34.968
Midland LTVA Dispersed,AZ,camps,BLM,FALSE,-114.659,33.727
Mills Cove,AZ,camps,NF,FALSE,-111.194,33.701
Mingus Mountain,AZ,camps,NF,FALSE,-112.12,34.693
Mitten View - Monument Valley,AZ,camps,RES,FALSE,-110.113,36.981
Mittry Lake Dispersed,AZ,camps,BLM,FALSE,-114.472,32.817
Mogollon,AZ,camps,NF,FALSE,-110.957,34.321
Molino Basin,AZ,camps,NF,FALSE,-110.692,32.337
Navajo National Monument,AZ,camps,NM,FALSE,-110.543,36.682
Needle Mt Road Dispersed,AZ,camps,BLM,FALSE,-114.435,34.714
North Rim - Grand Canyon National Park,AZ,camps,NP,FALSE,-112.061,36.211
Oak Flat,AZ,camps,NF,FALSE,-111.051,33.308
Orange Peel,AZ,camps,NF,FALSE,-111.253,33.762
Owl Creek,AZ,camps,BLM,FALSE,-109.309,32.967
Oxbow,AZ,camps,BLM,FALSE,-114.723,33.396
Pacheta Lake,AZ,camps,RES,FALSE,-109.535,33.773
Packsaddle,AZ,camps,BLM,FALSE,-114.17,35.452
Painted Rock,AZ,camps,BLM,FALSE,-113.048,33.023
Patagonia Lake State Park,AZ,camps,SP,FALSE,-110.854,31.49
Peppersauce,AZ,camps,NF,FALSE,-110.716,32.538
Phon D Sutton,AZ,camps,NF,FALSE,-111.66,33.546
Picacho Peak State Park,AZ,camps,SP,FALSE,-111.398,32.646
Pinal,AZ,camps,NF,FALSE,-110.83,33.287
Pine Flat,AZ,camps,NF,FALSE,-111.738,35.013
Pine View RV Military - Camp Navajo,AZ,camps,MIL,FALSE,-111.812,35.224
Pinegrove,AZ,camps,NF,FALSE,-111.462,35.028
Pinery Canyon,AZ,camps,NF,FALSE,-109.271,31.933
Pioneer Pass,AZ,camps,NF,FALSE,-110.797,33.28
Ponderosa,AZ,camps,NF,FALSE,-111.113,34.299
Potato Patch,AZ,camps,NF,FALSE,-112.154,34.711
Powell Springs,AZ,camps,NF,FALSE,-112.069,34.578
Quartzite - La Paz Valley,AZ,camps,BLM,FALSE,-114.2,33.66
Quartzite - La Posa,AZ,camps,BLM,FALSE,-114.217,33.663
Raccoon,AZ,camps,NF,FALSE,-109.329,33.799
Rainbow,AZ,camps,NF,FALSE,-109.404,33.876
Ramsey Vista,AZ,camps,NF,FALSE,-110.304,31.428
Reef Townsite,AZ,camps,NF,FALSE,-110.29,31.429
Regional Park - Usery Mt RA,AZ,camps,CP,FALSE,-111.62,33.476
Reservation Lake,AZ,camps,RES,FALSE,-109.5,33.844
Riggs Flat,AZ,camps,NF,FALSE,-109.963,32.708
Rim,AZ,camps,NF,FALSE,-110.908,34.306
River Island  - Buckskin State Park,AZ,camps,SP,FALSE,-114.141,34.254
Riverside,AZ,camps,NF,FALSE,-111.647,33.81
Riverview,AZ,camps,BLM,FALSE,-109.481,32.883
Rock Crossing,AZ,camps,NF,FALSE,-111.219,34.563
