name,state,lon,lat,website
Potato Creek State Park,IN,-86.36,41.55,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2543
Two Rivers NWR (Calhoun Division) / Mississippi River SFWA,IL,-90.559,38.965,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2639
Itasca State Park,MN,-95.22278,47.20278,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2710
Rudyard Clay Plain,MI,-84.5,46.2,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3772
Mississippi River Sandbars and Islands-47,MO,-89.4547,36.5285,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2552
Lower St. Mary's River and Potagannissing Bay,MI,-84.0125,46.0872,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2750
Lower Au Sable River and Iosco Co. Northern Goshawk IBA,MI,-83.32111,44.80583,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2732
Brookville Lake/Whitewater State Park,IN,-84.965,39.615,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2773
Black River Watershed-42,MO,-90.837,37.241,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2585
Morgan-Monroe Forest,IN,-86.5353,39.3214,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2774
Sax-Zim Bog IBA,MN,-92.6028,47.2117,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2906
Agassiz National Wildlife Refuge IBA,MN,-95.91667,48.33333,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2910
Raco Plains & Wilwin Wetland,MI,-84.72278,46.37556,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2756
Sturgeon River Sloughs Wildlife Area,MI,-88.50917,46.92028,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3575
Sloughs Wildlife Management Area,KY,-87.6964,37.8214,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3072
Jackson-Washington and Clark State Forests,IN,-85.83086,38.56228,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3075
Beanblossom Bottoms,IN,-86.5583,39.2875,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3076
Bernheim Forest,KY,-85.665,37.9215,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3078
Monroe Lake,IN,-86.4302,39.0646,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3089
Sherburne NWR IBA,MN,-93.73639,45.49472,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3220
Ballard County Bottoms,KY,-89.1025,37.09167,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3209
Lower Wisconsin River,WI,-90.09,43.1,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3635
Toft Point-Ridges Sanctuary-Mud Lake,WI,-87.1,45.1,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3668
Pinckney Recreation Area,MI,-83.9925,42.4125,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3568
Grand River Marsh-Grassland,WI,-89.0656,43.9356,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3643
Tahquamenon Falls State Park and Munising Moraine IV LTA,MI,-85.16611,46.55944,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3607
Rush Creek Forest-Prairie,WI,-91.1278,43.4144,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3633
Sleeping Bear Dunes National Lakeshore mainland,MI,-86.06944,44.85194,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2900
Van Loon Bottoms,WI,-91.2167,44.05,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3630
Point Beach State Forest,WI,-87.5114,44.2083,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3666
Wyalusing to Nelson Dewey,WI,-91.0644,42.9061,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3637
Whitefish Dunes-Shivering Sands,WI,-87.21,44.92,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3667
Bear Bluff Peatlands,WI,-90.3175,44.2772,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3649
George W. Mead Wildlife Area,WI,-89.97,44.71,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3652
Horicon Marsh,WI,-88.65,43.5333,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3657
Green Bay West Shore Wetlands,WI,-87.9,44.8,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3671
McCaslin Brook,WI,-88.69,45.36,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3678
Menominee Forest,WI,-88.5833,44.9833,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3677
Lincoln County Muskegs,WI,-89.8153,45.4019,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3680
Pigeon Country moraines,MI,-84.41667,45.13333,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3774
Fish Lake Wetlands and Barrens,WI,-92.75,45.7167,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3685
Blue Hills,WI,-91.7058,45.5892,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3682
