name,state,lon,lat,website
Grays Lake National Wildlife Refuge,ID,-111.43333,43.05,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=556
Harriman Wildlife Refuge,ID,-111.46667,44.33333,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=557
Heyburn State Park,ID,-116.7071,47.3561,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=559
Edness Kimball Wilkens State Park,WY,-106.3125,42.86667,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=892
Mogollon Rim Snow Melt Draws IBA,AZ,-111.1334676,34.44309969,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1233
Kootenai National Wildlife Refuge,ID,-116.4368,48.6816,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=587
Market Lake Wildlife Management Area,ID,-112.13333,43.76667,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=590
Pawnee National Grassland,CO,-103.6,40.61667,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=467
Minidoka National Wildlife Refuge,ID,-113.31667,42.66667,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=594
Mink Creek/ Cherry Springs Nature Area,ID,-112.38333,42.75,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=595
Wee Thump Joshua Tree Forest,NV,-115.08,35.49,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=938
Silver Creek Preserve,ID,-114.0172,43.2837,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=659
Oasis Valley,NV,-116.71,36.95,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=940
Sheldon NWR,NV,-119.22,41.81,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=944
Seedskadee National Wildlife Refuge,WY,-109.83333,41.83333,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=881
Yellowstone National Park,WY,-110.58333,44.58333,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=879
Atascosa Highlands IBA,AZ,-111.1946661,31.47185612,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2289
Virgin River,NV,-114.27,36.69,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=936
Wellington-Pine Grove Hills,NV,-119.22,38.6,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=937
Carson Valley,NV,-119.76667,38.98333,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=946
Ruby Lake NWR,NV,-115.46666,40.16667,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=947
Lahontan Valley Wetlands,NV,-118.46666,39.23333,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=973
Goshute Mountains,NV,-114.26666,40.41667,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=971
Pyramid Lake,NV,-119.58333,40,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=974
Great Basin National Park,NV,-114.3077,38.989,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1108
Pahranagat Valley Complex,NV,-115.11667,37.16667,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=976
Ash Meadows National Wildlife Refuge,NV,-116.33333,36.41667,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=977
Moapa Valley,NV,-114.71,36.72,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=980
Catclaw Washes Complex,NV,-114.8,35.36,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=981
Lake Mead NRA,NV,-114.3753,36.5003,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=982
Swan Lake,NV,-119.8425,39.6583,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1107
Fish Springs National Wildlife Refuge UT16,UT,-113.38333,39.83333,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2343
Blackjack Peninsula of Aransas National Wildlife Refuge,TX,-96.85,28.23333,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1564
Port Bolivar Bird Sanctuaries - Bolivar Flats,TX,-94.73333,29.36667,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1567
Bowerman Basin,WA,-123.93333,46.96667,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=219
Cheyenne Bottoms Preserve and Wildlife Area,KS,-98.43,38.3,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2622
Deseret Land and Livestock Ranch UT10,UT,-111.45,41.307,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1968
Cimarron National Grassland,KS,-101.85,37.12,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2623
Missouri National Recreational River,NE,-97.13693,42.78307,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2132
Toiyabe Range,NV,-117.2897,38.9967,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2214
Grand Teton National Park,WY,-110.66667,43.83333,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2095
Commissary Ridge Raptor Migration Route,WY,-110.76389,42.51389,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2080
North Platte River Valley,NE,-101.8258,41.24813,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2098
Indian Cave State Park,NE,-95.56964,40.264,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2101
Valentine National Wildlife Refuge,NE,-100.60664,42.53416,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2130
Ouray National Wildlife Refuge UT13,UT,-109.61667,40.15,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2367
Ruby Mountains,NV,-115.3961,40.5738,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2219
Fremont River - Capitol Reef National Park UT18,UT,-111.25,38.286,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2363
