name,state,lon,lat,website,,,,
Cape Romain National Wildlife Refuge,SC,-79.49860,33.01590,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1112,,,,
Bear Island Wildlife Management Area,SC,-80.45270,32.60190,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1109,,,,
Santee Coastal Reserve,SC,-79.56667,33.21667,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1120,,,,
Santee National Wildlife Refuge,SC,-80.43333,33.51667,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1121,,,,
Camp Robinson Special Use Area,AR,-92.28333,34.99170,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1990,,,,
Strawberry Plains Audubon Center,MS,-89.28000,34.49000,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2451,,,,
Grand Bay National Estuarine Research Reserve/National Wildlife Refuge,MS,-88.41667,30.41667,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1738,,,,
Hancock County Marsh Coastal Preserve,MS,-89.46667,30.21667,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1744,,,,
Noxubee National Wildlife Refuge,MS,-88.81667,33.23333,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1769,,,,
Mississippi Sandhill Crane National Wildlife Refuge,MS,-88.76667,30.60000,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1767,,,,
Croft State Natural Area,SC,-81.50000,34.52000,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1855,,,,
Sardis Lake,MS,-89.66667,34.46667,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1774,,,,
Pearl River Wildlife Refuge and Management Area,MS,-89.93333,32.53333,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1772,,,,
Cache-Lower White Rivers,AR,-91.12688,34.37647,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1979,,,,
St. Catherine Creek National Wildlife Refuge,MS,-91.43333,31.41667,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1775,,,,
Shortleaf Pine-Bluestem Grass Ecosystem Management Area,AR,-94.03330,34.80720,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1974,,,,
Wapanocca National Wildlife Refuge,AR,-90.24160,35.34472,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1989,,,,
Shugart/Felsenthal Red-cockaded Woodpecker,AR,-92.33333,33.16667,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1977,,,,
Millwood Lake,AR,-93.97500,33.75030,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1982,,,,
Lake Dardanelle,AR,-93.17080,35.24858,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1983,,,,
Bell Slough Wildlife Management Area,AR,-92.39610,34.94350,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1987,,,,
Big Lake,AR,-90.09630,35.92350,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1992,,,,
Fort Chaffee,AR,-94.29360,35.29770,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2067,,,,
Bald Knob National Wildlife Refuge,AR,-91.56961,35.27980,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2123,,,,
Jocassee Gorges,SC,-82.81139,35.04250,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2325,,,,
Deer Island,MS,-88.84920,30.37560,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2442,,,,
Audubon's Francis Beidler Forest,SC,-80.31667,33.20000,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2548,,,,
Catahoula-Dewey Wills-Three Rivers,LA,-91.78900,31.32700,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2823,,,,
Dauphin Island,AL,-88.17000,30.23000,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2602,,,,
Hatchie National Wildlife Refuge,TN,-89.20833,35.50028,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2833,,,,
Talladega National Forest (Oakmulgee District),AL,-87.24000,32.85000,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2619,,,,
Mississippi Alluvial Valley,TN,-89.36500,36.36500,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2878,,,,
Land Between the Lakes,TN,-88.03083,36.48694,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2835,,,,
Cumberland Mountains,TN,-84.46667,36.12639,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2848,,,,
Caesars Head State Park,SC,-82.53333,35.16667,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2902,,,,
Southern Blue Ridge,TN,-82.07028,36.19611,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2865,,,,
West Pontchartrain-Maurepas Swamp,LA,-90.60300,30.21100,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3006,,,,
Chandeleur Islands (Breton National Wildlife Refuge),LA,-88.93400,29.78100,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3008,,,,
Atchafalaya Basin,LA,-91.49100,30.17700,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3015,,,,
Cross Creeks National Wildlife Refuge,TN,-87.69694,36.43528,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2840,,,,
DeSoto National Forest,MS,-88.91667,30.81667,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1736,,,,
Chenier Plain,LA,-92.70800,29.75200,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3260,,,,
East Kisatchie,LA,-92.67700,31.77800,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3277,,,,
West Kisatchie,LA,-92.88400,31.19500,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3261,,,,
Lake Pontchartrain,LA,-90.12300,30.19300,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3269,,,,
Atchafalaya Delta,LA,-91.41400,29.51000,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3272,,,,
Conecuh National Forest,AL,-86.63444,31.09556,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3440,,,,
Bankhead National Forest,AL,-87.34528,34.31278,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3450,,,,
State Cattle Ranch/Black Belt,AL,-87.68583,32.62889,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3456,,,,
Talladega NF (Shoal Creek/Talladega District) - Mt Longleaf NWR,AL,-85.57111,33.77167,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3451,,,,
Lewis Ocean Bay Heritage Preserve,SC,-78.84530,33.79170,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3457,,,,
Wehle-Barbour,AL,-85.46950,32.03190,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3513,,,,
Mobile/Tensaw Delta,AL,-87.92390,30.96060,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3510,,,,
Splinter Hill Bog FW,AL,-87.67040,31.03120,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3514,,,,
Eufaula National Wildlife Refuge,AL,-85.08194,31.97556,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3565,,,,
Great White Heron National Wildlife Refuge,FL,-81.44300,24.66500,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=37,,,,
Emeralda Marsh,FL,-81.82400,30.22800,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=66,,,,
Isles Dernieres-Timbalier Islands,LA,-90.64480,29.06990,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3749,,,,
Sumter National Forest: Long Cane,SC,-82.10417,33.82417,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3785,,,,
Okefenokee National Wildlife Refuge,GA,-82.33330,30.80420,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3096,,,,
Grand Bay/Banks Lake Ecosystem,GA,-83.16667,30.95000,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1859,,,,
Wassaw National Wildlife Refuge,GA,-80.95860,31.55000,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3184,,,,
Piedmont National Wildlife Refuge,GA,-83.73330,33.10000,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3108,,,,
Harris Neck National Wildlife Refuge,GA,-81.26670,31.63060,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3095,,,,
Fort Stewart Military Installation,GA,-81.58300,31.98300,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2978,,,,
Cumberland Island National Seashore,GA,-81.41667,30.83333,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1863,,,,
St. Catherines Island,GA,-81.15000,31.63333,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1860,,,,
Carters Lake,GA,-84.66820,34.61490,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2893,,,,
Apalachicola River and Forests,FL,-84.77760,30.12512,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=14,,,,
Northern Everglades,FL,-80.63400,26.01100,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=129,,,,
Key West National Wildlife Refuge,FL,-82.00300,24.53100,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=38,,,,
Blackwater River State Forest,FL,-86.81000,30.94100,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=9,,,,
Altamaha River Delta,GA,-81.31361,31.29750,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=996,,,,
Eglin Air Force Base,FL,-86.57000,30.46000,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=10,,,,
St. Joseph Bay,FL,-85.35600,29.78800,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=12,,,,
Jekyll Island,GA,-81.41670,31.05290,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3181,,,,
Big Cypress Swamp Watershed,FL,-81.41800,26.18800,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=102,,,,
Mahannah Wildlife Management Area,MS,-90.93333,32.53333,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1746,,,,
Holla Bend National Wildlife Refuge,AR,-93.05910,35.14040,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1984,,,,
Coldwater River National Wildlife Refuge,MS,-90.13333,34.08333,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=1776,,,,
Tennessee National Wildlife Refuge,TN,-88.12639,36.35000,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2874,,,,
Active Delta (Mississippi River Birdsfoot Delta),LA,-89.21700,29.16000,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3007,,,,
Barataria Terrebonne,LA,-90.44000,29.27000,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3273,,,,
Lake Martin,LA,-91.92900,30.20400,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3275,,,,
Dawson Forest,GA,-84.08300,34.36000,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2926,,,,
Charlie Elliot Management Area,GA,-83.73900,33.46000,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2896,,,,
Eufaula National Wildlife Refuge - Bradley Unit,GA,-85.00050,32.00000,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=2968,,,,
Chattahoochee National Forest,GA,-83.77830,34.77110,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3094,,,,
Oconee National Forest,GA,-82.74555,33.65778,https://gis.audubon.org/portal/apps/dashboards/1742bc47f980490da9c23e23dc4d5e86#site=3262,,,,
