"lat","lon","open","sites","elev"
"33.79000","-109.41300"," ","60","7769"
"31.86500","-109.35900"," ","7","5968"
"36.21500","-109.09200"," ","25","7313"
"35.11900","-112.01700","early may-late sep","94","6594"
"31.39500","-111.08900"," ","15","3898"
"34.50900","-112.47700","mid may-mid oct","59","5669"
"33.56600","-112.49900"," ","40"," "
"31.56200","-109.72100"," "," ","4062"
"35.06500","-113.87100"," ","24","6201"
"33.49400","-114.88800"," "," "," "
"33.49400","-114.88800"," ","14"," "
"35.87000","-114.66000","all year","37"," "
"33.66700","-111.08700"," ","347","2159"
"35.43600","-114.16100"," ","7","6119"
"33.96500","-109.48400","mid may-mid nov","63","9341"
"34.61300","-112.54500"," ","21","5646"
"32.72800","-114.42300"," "," "," "
"37.37900","-106.34500"," ","10","8665"
"38.65400","-106.85800","mid may-mid sep","10","8018"
"38.08000","-105.56200","early jun-mid oct","50","8986"
"38.01900","-107.66500","mid jun-late sep","35","8320"
"38.58300","-106.22100"," ","20","9180"
"40.68900","-105.35000","all year","16","5850"
"40.12100","-105.76000","early jun-mid oct","84","8346"
"38.25100","-104.73300"," "," ","4943"
"40.51700","-106.03200"," ","7","8980"
"39.42500","-105.84300","early jun-late sep","12","9974"
"37.07300","-106.27500","mid may-mid sep","32","8540"
"40.61900","-105.81900"," ","9","8724"
"39.22200","-107.78000","mid may-late nov","27","7998"
"39.86400","-105.41600"," ","35","8999"
"40.40000","-105.59400","mid may-mid sep","51","8248"
"39.23600","-107.20400","mid may-mid sep","13","7349"
"39.27000","-106.35100","early jun-late aug","50","9961"
"39.65400","-105.17700"," ","52","5682"
"37.32600","-105.14300","mid may-mid sep","14","10489"
"40.04500","-107.07000"," ","43","9757"
"37.61700","-106.67600"," "," ","8484"
"40.05300","-106.13300"," ","10","7596"
"38.25000","-107.54500","mid may-mid sep","11","8786"
"40.77100","-105.61700","mid jun-late sep","26","8671"
"39.26900","-106.34900"," ","19","9954"
"40.70800","-105.72400","mid may-mid dec","8","7713"
"38.21700","-107.38500","mid jun-mid sep","11","9675"
"38.25800","-107.54500","mid may-mid sep","10","8698"
"39.07800","-107.88300","mid jul-mid sep","26","10167"
"40.93500","-106.60900","early jun-mid sep","54","9012"
"38.74500","-108.55000"," ","9","7123"
"37.54000","-106.79500","mid may-","61","9331"
"40.63300","-105.80700","mid may-mid sep","4","8535"
"40.06700","-106.58100","mid jun-mid nov","8","9012"
"37.14500","-106.88500"," ","6","7267"
"39.47200","-106.36600"," ","6","8894"
"39.47200","-106.36600","mid jun-mid sep","7","8894"
"37.31300","-105.13900","mid may-mid oct","16","10531"
"38.96100","-105.36200","early jun-late sep","21","8110"
"39.72600","-106.13100","mid may-mid sep","24","8491"
"40.56000","-105.96500"," ","52","9072"
"39.10000","-107.26200","mid may-mid sep","36","7615"
"39.10400","-107.89800"," "," ","9849"
"40.15500","-105.12600"," "," ","4977"
"40.43000","-105.05800","early apr-late sep","148","4993"
"37.65700","-108.73800"," ","22","6476"
"37.46500","-107.19900"," ","19","7838"
"37.81800","-107.14400"," ","16","9528"
"40.79600","-105.92700","mid jul-mid sep","28","8471"
"40.24900","-103.62500"," ","24","4242"
"38.44000","-109.04500","mid may-mid sep","37","7674"
"39.99400","-105.63400"," ","10","10108"
"39.34100","-105.32900","early jun-late aug","41","7333"
"38.18500","-106.51700"," ","24","9163"
"39.03200","-105.98700","early jun-mid sep","18","9219"
"39.51300","-105.71100"," ","13","9675"
"37.78800","-108.06600"," ","12","9114"
"39.87600","-105.89700"," ","6","9380"
"37.63000","-108.69400"," ","11","6535"
"40.12800","-105.52100","mid may-mid oct","41","8753"
"39.42000","-106.31400","early jun-late aug","21","9327"
"39.04200","-107.98300"," ","20","10325"
"37.14400","-104.57000"," ","63","6352"
"40.35500","-105.22000"," "," ","5807"
"40.32000","-105.20900"," "," ","5714"
"38.71000","-106.24500","mid may-mid sep","22","9065"
"39.36400","-104.58400"," ","15","6526"
"39.89100","-106.83200"," "," ","6564"
"39.83700","-106.30700","mid may-mid sep","5","8599"
"37.82200","-106.60500"," ","29","9452"
"37.77000","-107.97700","early jun-late aug","27","9547"
"38.04700","-107.10000"," ","21","9406"
"38.82800","-106.83700","mid may-mid sep","13","8996"
"38.71300","-106.23300","mid may-mid sep","19","8753"
"40.59700","-105.85200","all year","44","9193"
"39.30900","-106.63700","mid may-mid sep","84","8619"
"40.18600","-107.09100"," ","12","9301"
"39.53900","-105.06300","mid apr-late oct","193","5505"
"39.64700","-104.82900","all year","102","5597"
"38.73800","-104.80900","mid apr-late dec","61","6053"
"38.44200","-107.55400"," ","22","6929"
"37.53900","-107.20900"," ","21","8409"
"39.75400","-105.23100"," ","36","5685"
"39.65200","-105.70800","mid jun-mid sep","8","10049"
"38.33400","-105.80400","mid may-mid sep","10","7372"
"39.67600","-107.20400","mid jun-mid oct","10","10105"
"38.76700","-106.64200","mid may-mid sep","6","8976"
"40.03000","-107.11900"," ","5","10259"
"39.84200","-105.49700","mid may-mid sep","38","9350"
"39.08100","-107.95700"," ","56","10043"
"38.81300","-106.31600","mid may-mid sep","56","9882"
"39.08000","-105.09400","early jun-late aug","81","7835"
"39.81700","-105.54900","mid may-mid sep","45","9035"
"38.42400","-108.38100"," ","6","9121"
"38.59900","-106.60300"," ","4","8900"
"37.44500","-106.36200"," ","8","9754"
"37.17100","-106.44400","mid may-mid sep","15","8793"
"38.78200","-106.29200"," ","24","9751"
"38.90900","-105.46100","mid may-mid oct","4","8480"
"39.87500","-106.27900","early may-late sep","40","7972"
"38.87100","-105.12000"," ","17","10157"
"38.68800","-107.59900","early may-late aug","44","6558"
"40.81000","-108.92300"," ","20","5384"
"40.17000","-107.05200"," ","10","8917"
"37.58100","-106.65000"," ","12","8871"
"40.64400","-104.34300","early apr-late oct","10","4843"
"38.05500","-105.07100","early jun-mid oct","12","8543"
"39.83800","-106.23100"," ","7","7999"
"39.36100","-106.73800","mid may-mid sep","13","7815"
"39.77200","-107.30200","mid jul-mid oct","35","10512"
"39.50800","-105.55400"," ","13","9137"
"38.02200","-107.18800","mid may-mid sep","12","10446"
"40.45000","-108.52300"," ","10","5623"
"37.68300","-106.35300"," "," ","7877"
"40.25500","-106.07900"," ","22","8612"
"39.27100","-105.10300"," ","21","8891"
"39.09200","-106.32500"," ","24","9262"
"39.14100","-106.77400","mid may-mid sep","47","8143"
"38.90500","-106.58700","mid may-late sep","22","9626"
"38.68400","-108.68900","mid may-mid nov","11","8770"
"38.96500","-106.66300","mid may-mid oct","10","9954"
"40.79100","-105.55700","all year","70","8189"
"38.48100","-107.18700"," ","10","7569"
"40.53600","-106.78100"," ","8","8314"
"40.43500","-107.89600","mid may-late nov","7","6096"
"40.40500","-106.62700","early jul-mid sep","22","9567"
"40.69700","-105.44400","mid may-mid sep","20","6526"
"39.21500","-107.81100","mid may-late nov","33","8008"
"39.61300","-102.17000"," "," ","3711"
"40.48200","-108.32100","mid may-late nov","11","5930"
"37.37700","-106.88900"," ","26","7789"
"40.01100","-107.42600","mid may-mid nov","7","8166"
"38.52500","-107.65000"," ","15","6601"
"39.65800","-105.59300","early jun-late aug","18","10745"
"40.52500","-108.98300"," ","17","5115"
"39.04900","-107.93600"," ","6","10217"
"39.15200","-106.41800","mid may-mid sep","17","10131"
"38.93700","-105.50300","mid may-late aug","350","8632"
"37.12600","-106.36800","mid may-mid sep","31","8701"
"38.46600","-107.16700","all year","160","7540"
"39.34400","-106.61200","mid may-mid sep","7","8881"
"39.87400","-106.32500","mid may-mid sep","15","8071"
"39.76200","-105.68400"," "," ","8627"
"38.95800","-107.26400","mid may-mid sep","18","6923"
"39.01000","-104.99400"," "," ","9089"
"39.27600","-106.35200","early jun-late aug","26","10010"
"37.61800","-108.64700"," ","7","6591"
"38.44100","-105.53600","early apr-late dec","12","6135"
"39.32600","-105.08600"," ","19","8255"
"40.37200","-105.23300"," "," ","5489"
"40.68100","-102.84500"," "," ","4240"
"37.45200","-107.68200","mid may-mid sep","20","8353"
"39.61400","-102.22000"," ","49","3691"
"39.21000","-106.10400","mid may-mid sep","14","10833"
"40.76200","-107.42100"," ","18","8812"
"39.15000","-108.74000","mid mar-late dec","45","4484"
"39.49200","-106.65800","mid jun-mid oct","7","9446"
"38.54700","-106.30200"," ","11","9915"
"40.72700","-108.88700","all year","17","5358"
"39.53200","-105.73700","early jun-late aug","25","9820"
"39.73400","-105.68900"," "," ","8443"
"40.33000","-105.59600","mid may-mid sep","150","8632"
"38.65500","-106.57400","mid may-mid oct","6","10046"
"39.40400","-106.43600","mid may-mid sep","11","9272"
"39.17100","-105.35900"," ","10","7749"
"39.62700","-106.27500","mid may-mid sep","25","8789"
"40.07400","-106.56000"," ","12","9610"
"38.98200","-107.00600","mid jun-mid sep","4","9685"
"37.39100","-107.54000","mid may-mid nov","25","7753"
"40.50300","-105.77200","mid jun-mid nov","9","10066"
"40.49600","-106.69100"," ","8","9908"
"38.40700","-105.31600"," "," ","6161"
"39.32600","-105.35600"," ","6","7657"
"40.20600","-105.84400","mid may-mid oct","78","8399"
"37.93600","-104.84600"," ","26","5929"
"40.55700","-106.59900"," ","12","8527"
"39.61300","-105.71600","early jun-late aug","18","10768"
"39.65100","-106.95200"," "," ","6299"
"40.84000","-106.99700","mid jun-late aug","26","8428"
"39.50100","-106.43200","mid may-mid sep","7","10315"
"39.16100","-106.39600"," ","6","9954"
"39.15800","-106.39700"," ","16","9974"
"39.48300","-105.80500"," ","9","9839"
"39.48200","-105.80200"," ","10","9846"
"37.81300","-106.73700"," ","5","10915"
"39.01500","-105.36200","mid may-late sep","8","7923"
"40.64600","-102.62400"," ","10","4029"
"37.53400","-107.80800","mid may-mid sep","43","8156"
"38.33000","-105.82300"," ","11","7871"
"40.49000","-107.31100","mid may-late nov","50","6306"
"39.60400","-106.07800","early jun-late sep","81","9052"
"38.65300","-106.05200","early apr-late dec"," ","7423"
"40.33500","-105.46400"," "," ","8331"
"40.50700","-106.60800"," ","9","8911"
"38.04100","-107.13300","mid jun-mid sep","4","9682"
"39.91900","-105.78400"," "," ","8779"
"39.27000","-108.83600","all year","25","4738"
"37.62200","-106.68500"," ","11","8445"
"40.02800","-107.27200","mid may-mid nov","11","8832"
"40.74900","-106.83400"," ","13","7726"
"39.47200","-106.36600"," ","6","8894"
"39.47200","-106.36600","mid jun-mid sep","7","8894"
"39.90000","-106.09600","mid jun-mid sep","7","8445"
"39.20200","-106.08600","mid may-late sep","19","10551"
"40.03500","-107.11300","mid jun-mid sep","7","10000"
"37.51600","-108.53500","mid may-late sep","65","6969"
"37.38300","-109.07100"," ","30","5226"
"37.38300","-109.07100"," ","30","5220"
"39.13400","-103.47100"," ","10","5036"
"39.90400","-105.77800"," ","24","8953"
"39.38100","-105.09800"," ","11","7592"
"40.52700","-105.16100"," "," ","5433"
"40.82600","-108.73400"," "," ","6600"
"38.70900","-106.33800"," ","15","9974"
"38.31700","-108.16400","mid jun-mid oct","8","9619"
"39.16800","-108.30100","early apr-late dec","60","4790"
"39.03200","-108.01100","mid jul-mid sep","41","10476"
"37.68100","-107.00000"," ","6","9200"
"40.63300","-105.52500","early jun-mid nov","56","8120"
"39.25100","-105.08900"," ","9","8199"
"40.38500","-104.09300","all year","250","4455"
"39.43300","-105.85300","mid may-late sep","17","10108"
"39.05300","-108.09400","early jun-late sep","26","9836"
"37.33700","-107.91700","early may-late sep","44","7323"
"38.27700","-104.75500"," "," ","4914"
"40.47000","-107.95300","mid may-late nov","8","5983"
"39.93200","-105.49800","mid may-mid sep","46","8642"
"40.68100","-105.48300","mid may-mid sep","29","6768"
"39.30600","-105.26500","early jun-late aug","17","8061"
"39.41400","-105.76100","early jun-late aug","25","10079"
"39.03800","-107.94800"," ","12","10157"
"39.32900","-106.12800","mid may-mid sep","5","12057"
"37.37600","-108.07700"," ","11","8914"
"37.98400","-105.05900","mid apr-mid sep","29","8593"
"38.26500","-105.66200","mid may-mid sep","11","8264"
"37.30900","-106.47700","mid may-mid sep","20","9528"
"38.45500","-107.32300","early apr-mid dec","82","7605"
"38.07500","-102.93300"," ","213","3770"
"38.88100","-107.10800","early jun-late sep","32","10420"
"38.81800","-106.58000","mid may-late sep","35","9606"
"39.09800","-106.36600","early jun-late aug","27","9554"
"39.11700","-106.69500"," ","7","9659"
"39.37800","-106.80600","mid may-mid sep","22","7930"
"39.37500","-106.81300"," ","20","7818"
"38.76100","-106.66200","mid jun-late sep","16","8983"
"39.42300","-105.84300","mid may-late sep","34","9974"
"39.25200","-105.23500","all year","20","6447"
"40.51500","-105.76700","mid jul-mid nov","25","10082"
"40.27500","-105.55900"," ","26","9432"
"38.87000","-107.20800","mid jun-mid sep","19","9649"
"39.12200","-106.62500","mid jun-mid sep","10","10548"
"39.28500","-105.50700"," ","12","9980"
"37.76800","-107.34900"," ","7","9593"
"38.77600","-106.62700","mid may-mid sep","27","9098"
"37.61600","-106.67600"," ","23","8450"
"40.69100","-105.43100","mid may-mid oct","8","6470"
"40.69100","-105.43100","mid may-mid oct","5","6470"
"40.69100","-105.43100","mid may-mid sep","7","6470"
"37.24200","-107.34300"," ","17","6621"
"39.62300","-106.03100","early jun-late aug","24","9085"
"38.18100","-106.58400"," ","6","10056"
"40.07800","-106.69900"," ","11","9016"
"37.40000","-108.27000","all year","24","7858"
"37.78900","-106.98600","early jun-late aug","17","8802"
"40.00700","-107.42600","mid may-mid nov","22","8228"
"40.34700","-105.53100"," ","270","8040"
"39.25800","-106.36000"," ","17","9918"
"37.84500","-107.88100","mid jun-late sep","28","9465"
"37.65100","-108.29700","mid may-mid sep","19","7710"
"40.50100","-108.03300"," ","9","5919"
"40.51700","-108.08600"," ","20","5920"
"39.27800","-106.43100","early jun-late aug","27","9961"
"38.05900","-107.87200"," ","19","9265"
"39.12400","-107.31300","mid may-mid oct","8","8205"
"39.85100","-106.23800","mid may-mid sep","13","7969"
"37.49700","-108.55300","mid may-late sep","71","7159"
"39.81700","-107.54300","mid may-mid oct","10","9619"
"40.22300","-105.27400"," "," ","5357"
"38.97800","-104.98600","mid may-mid oct","19","9196"
"40.37300","-106.72400"," ","30","9334"
"40.03600","-107.91000"," ","9","6226"
"40.24200","-105.53400","mid may-mid sep","29","8642"
"39.51000","-105.53500"," ","18","9026"
"39.41100","-105.88300","mid may-mid sep","12","10102"
"37.40900","-107.53600"," ","24","7753"
"38.62300","-106.42500","mid may-mid sep","7","10253"
"37.90600","-107.39000"," ","22","9524"
"37.40500","-107.66100"," ","12","8192"
"38.98100","-108.87200"," ","4","6549"
"37.97500","-108.33400","all year","50","7707"
"38.74700","-106.43200","mid may-mid sep","10","11017"
"40.43000","-104.86300"," ","12","4944"
"37.35800","-106.54700"," ","22","10108"
"39.77600","-105.79200"," ","10","9695"
"37.06500","-106.23500","mid may-mid sep","59","8428"
"37.74900","-107.68300"," "," ","10516"
"39.37500","-106.81000","early jun-late aug","27","7890"
"39.26400","-106.35300","early jun-late aug","49","9944"
"39.19400","-105.34400"," ","15","7533"
"38.51600","-106.32500","early jun-mid sep","37","10502"
"37.20700","-105.04700"," "," ","8619"
"40.35800","-105.60000","all year"," ","8117"
"37.30200","-108.42000"," ","450","7822"
"38.86000","-106.71000","mid may-mid oct","16","10016"
"38.71400","-106.22400","mid may-mid sep","19","8648"
"40.68200","-105.46700","mid may-mid sep","54","6686"
"38.90500","-108.73900"," ","14","8550"
"38.89000","-105.16400","mid may-late dec","90","9308"
"40.69100","-105.43100","mid may-mid oct","8","6470"
"40.69100","-105.43100","mid may-mid oct","5","6470"
"40.69100","-105.43100","mid may-mid sep","7","6470"
"37.00400","-107.41800","all year","120","6115"
"38.35300","-106.56000","mid jun-mid oct"," ","8976"
"38.73000","-106.75800","mid may-mid sep","17","8451"
"37.39400","-107.53900","mid may-mid sep","21","7743"
"37.83600","-107.13900"," ","25","9564"
"39.63800","-102.18500"," ","21","3711"
"38.01600","-105.68900"," ","13","8504"
"40.05900","-107.43400","mid may-mid oct","40","7831"
"40.81400","-105.71000","mid jun-mid sep","9","9186"
"38.61200","-106.32000","mid may-mid sep","9","11473"
"39.33100","-108.70200"," ","35","5399"
"40.55300","-105.99700"," ","48","8945"
"38.58600","-107.70900"," ","13","7769"
