lon,lat,name,type,open,sites,elev,amenities,state
-109.413,33.873,Grayling,NF,mid may-mid nov,23,9111,NH DP 22ft FT DW SH RS PA ,AZ
-112.751,32.238,Gunsite Wash Dispersed,BLM, , ,1795,NH ND NT NW NS NR ,AZ
-110.964,34.218,Haigler Canyon,NF, ,14,4139,NH ND 20ft VT NW NS NR ,AZ
-109.329,33.636,Hannagan,NF,mid may-mid sep,8,9163,NH ND 16ft VT DW NS NR N$ ,AZ
-109.758,33.991,Hawley Lake,RES, ,100,8202,NH ND VT DW NS ,AZ
-112.285,34.170,Hazlett Hollow,NF,mid may-mid sep,15,5988,NH ND VT DW NS NR ,AZ
-109.234,31.873,Herb Martyr,NF, ,7,5833,NH ND VT NW NS NR N$ ,AZ
-112.381,34.511,Hilltop,NF,mid apr-mid oct,38,5656,NH ND 40ft VT DW NS NR ,AZ
-110.630,35.024,Homolovi Ruins State Park,SP,all year,53,4921,E DP 80ft FT DW SH RS L$ ,AZ
-109.481,33.475,Honeymoon,NF,mid may-mid sep,4,5433,NH ND 16ft VT DW NS NR N$ ,AZ
-109.344,33.788,Horse Springs,NF,mid may-mid oct,27,7661,NH ND 32ft VT DW NS NR L$ ,AZ
-111.717,33.977,Horseshoe,NF, ,12,1900,NH ND 16ft VT NW NS NR L$ ,AZ
-109.683,34.028,Horseshoe Cienega,RES, ,70,8258,NH DP VT DW NS ,AZ
-109.874,32.666,Hospital Flat,NF,mid apr-mid nov,10,9026,NH ND VT NW NS NR ,AZ
-109.396,32.550,Hot Well Dunes,BLM, ,10,3642,NH ND 35ft VT NW NS NR ,AZ
-111.320,34.271,Houston Mesa,NF,early dec-late nov,30,5043,NH DP 30ft FT DW SH RS ,AZ
-113.879,35.097,Hualapai Mountain Park,CP, ,70,6348,E DP 35ft FT DW ,AZ
-110.803,33.324,Ice House CCC,NF, ,7,4583,16ft VT NW NR ,AZ
-109.161,31.898,Idlewilde,NF,mid apr-mid nov,9,4964,NH ND 16ft VT DW NS NR L$ ,AZ
-114.489,32.904,Imperial Dam Long Term,BLM, , , ,NH DP VT SH NR ,AZ
-112.497,34.479,Indian Creek,NF, ,27,5791,NH 32ft DW NR ,AZ
-111.239,33.767,Indian Point,NF, ,54,2185,NH ND 16ft NW NS NR L$ ,AZ
-112.214,36.716,Jacob Lake,NF,mid may-mid oct,51,7933,NH ND 35ft VT DW NS RS ,AZ
-109.222,31.878,John Hands,NF, ,5,5630,VT NW NR ,AZ
-110.643,33.591,Jones Water,NF, ,12,4242,NH ND 16ft VT NW NS NR N$ ,AZ
-112.157,35.281,Kaibab Lake,NF,mid may-mid sep,63,6857,NH DP 35ft PT DW NS NR ,AZ
-110.347,31.817,Kartchner Caverns State Park,SP,all year,62,4682,E DP 60ft FT DW SH RS ,AZ
-114.564,35.222,Katherine Landing - Lake Mead National Rec Area,NRA,all year,173, ,WES 35ft FT DW RS ,AZ
-110.204,35.813,Keams Canyon Community Park,CP, , ,6149,NULL,AZ
-111.317,34.436,Kehl Springs,NF,all year,8,7500,NH ND 22ft VT NW NS NR N$ ,AZ
-112.277,34.175,Kentuck Springs,NF, ,15,6040,NH ND VT NW NS NR ,AZ
-111.312,34.897,Kinnikinick,NF, ,13,7067,NH ND 22ft VT NW NS NR ,AZ
-111.093,34.427,Knoll Lake,NF,mid may-mid oct,33,7513,NH ND 32ft VT DW NS NR ,AZ
-109.355,33.576,KP Cienega,NF,mid may-mid sep,5,9000,NH ND 18ft VT DW NS NR N$ ,AZ
-114.193,34.227,La Paz County Park,CP,all year,150, ,WE DP DW SH ,AZ
-114.224,34.423,Lake Havasu State Park,SP,all year,42, ,NH DP 35ft FT DW SH RS ,AZ
-114.476,32.986,Lake Martinez Military,MIL, , , ,RS ,AZ
-112.319,33.864,Lake Pleasant,CP, ,150,1683,WE DP 40ft FT DW SH RS L$ ,AZ
-109.979,34.158,Lakeside,NF,mid may-mid nov,91,6765,NH DP 32ft VT DW NS RS PA ,AZ
-111.497,35.067,Lakeview,NF,mid may-mid oct,30,6946,NH ND 28ft VT DW NS NR ,AZ
-110.448,31.429,Lakeview,NF, ,65,5433,NH ND 32ft VT DW NS NR L$ ,AZ
-151.865,59.768,Anchor River State Rec Area,SRA, ,75, ,NR ,AK
-111.604,36.860,Lees Ferry - Glen Canyon Area,NRA, ,54,3189,NH DP 30ft VT DW NS NR L$ ,AZ
-111.621,35.359,Lockett Meadow,NF,mid jun-mid oct,17,8579,NH ND VT NW NS NR L$ ,AZ
-109.776,34.142,Los Burros,NF,mid may-mid oct,10,7927,NH ND 22ft VT NW NS NR N$ ,AZ
-111.481,33.464,Lost Dutchman State Park,SP,all year,70,2070,WE DP 35ft FT DW SH RS ,AZ
-109.341,33.267,Lower Juan Miller,NF, ,4,5753,NH ND VT NW NS NR N$ ,AZ
