place_id,name,states,acres,owner_name,designation,ecoregion,ecoregion_rank,national_rank,rank_top500,in_top500,rank_top1000,in_top1000
2875,Overflow National Wildlife Refuge,"AR, LA",13106,U.S. Fish & Wildlife Service,National Wildlife Refuge,Mississippi River Alluvial Plain,3,2592,248,TRUE,248,TRUE
2788,Juniper Prairie Wilderness - Ocala National Forest,FL,14293,US Forest Service,National Forest,Florida Peninsula,1,2605,56,TRUE,56,TRUE
1083,Clifty Wilderness - Daniel Boone National Forest,KY,11089,US Forest Service,National Forest,Cumberlands And Southern Ridge And Valley,5,2636,,FALSE,437,TRUE
5976,Suggs Mill Pond Game Land Nature Reserve,NC,9346,NC Wildlife Resources Commission,State Recreation Area,Mid-Atlantic Coastal Plain,12,2648,,FALSE,851,TRUE
3074,Porcupine Mountains Wilderness State Park,MI,62178,Michigan Department of Natural Resources,State Park,Great Lakes,14,2649,,FALSE,819,TRUE
3471,Sam D. Hamilton Noxubee National Wildlife Refuge,MS,47171,U.S. Fish & Wildlife Service,National Wildlife Refuge,Upper East Gulf Coastal Plain,1,2707,57,TRUE,57,TRUE
325,Big South Fork National River and Recreation Area,"KY, TN",39181,National Park Service,,Cumberlands And Southern Ridge And Valley,6,2722,,FALSE,563,TRUE
1589,Sweetgrass Hills ACEC - Havre Field Office,MT,4035,Bureau of Land Management,Area of Critical Environmental Concern,Northern Great Plains Steppe,21,2733,,FALSE,915,TRUE
1274,Felsenthal National Wildlife Refuge,AR,64250,U.S. Fish & Wildlife Service,National Wildlife Refuge,Upper West Gulf Coastal Plain,2,2768,183,TRUE,183,TRUE
2384,Nordhouse Dunes Wilderness - Manistee National Forest,MI,3245,US Forest Service,National Forest,Great Lakes,15,2771,,FALSE,627,TRUE
2441,Mattamuskeet National Wildlife Refuge,NC,48835,U.S. Fish & Wildlife Service,National Wildlife Refuge,Mid-Atlantic Coastal Plain,13,2848,,FALSE,784,TRUE
900529,Sipsey Wilderness - William B. Bankhead National Forest,AL,20275,US Forest Service,National Forest / Wild and Scenic River,Cumberlands And Southern Ridge And Valley,7,2858,308,TRUE,308,TRUE
1052,Sheep Ridge Wilderness - Croatan National Forest,NC,9315,US Forest Service,National Forest,Mid-Atlantic Coastal Plain,14,2866,,FALSE,564,TRUE
5997,Apalachicola River Wildlife and Environmental Area,FL,57080,Trustees of the Internal Improvement Trust Fund,State Conservation Area,East Gulf Coastal Plain,4,2871,309,TRUE,309,TRUE
2861,Black Fork Mountain Wilderness - Ouachita National Forest,"AR, OK",13347,US Forest Service,National Forest,Ouachita Mountains,4,2875,,FALSE,373,TRUE
66,Clear Lake WSA - Apalachicola National Forest,FL,5475,US Forest Service,,East Gulf Coastal Plain,5,2879,,FALSE,374,TRUE
3468,Salt Plains National Wildlife Refuge,OK,19917,U.S. Fish & Wildlife Service,National Wildlife Refuge,Central Mixed-Grass Prairie,4,2883,310,TRUE,310,TRUE
2436,Rockpile Mountain Wilderness - Mark Twain National Forest,MO,4236,US Forest Service,National Forest,Ozarks,14,2895,,FALSE,885,TRUE
4031,Tahquamenon Falls State Park,MI,45424,Michigan Department of Natural Resources,State Park,Great Lakes,16,2923,,FALSE,852,TRUE
2434,Paddy Creek Wilderness - Mark Twain National Forest,MO,7040,US Forest Service,National Forest,Ozarks,15,2952,,FALSE,945,TRUE
6840,State Game Land 087,PA,17318,PA Game Commission,State Land,Western Allegheny Plateau,1,2957,58,TRUE,58,TRUE
900006,Agassiz National Wildlife Refuge,MN,60093,U.S. Fish & Wildlife Service,National Wildlife Refuge,Northern Tallgrass Prairie,1,2961,59,TRUE,59,TRUE
7905,Francis Case Recreation Area,SD,98652,Unknown,Recreation Area,Dakota Mixed-Grass Prairie,2,2970,249,TRUE,249,TRUE
2865,Dry Creek Wilderness - Ouachita National Forest,AR,6301,US Forest Service,National Forest,Ouachita Mountains,5,2975,,FALSE,438,TRUE
1626,Rock River Canyon Wilderness - Hiawatha National Forest,MI,4724,US Forest Service,National Forest,Great Lakes,17,2998,,FALSE,916,TRUE
900313,Lewis And Clark Recreation Area,"NE, SD",38559,Unknown,Recreation Area,Northern Tallgrass Prairie,3,3010,311,TRUE,311,TRUE
900102,Chassahowitzka National Wildlife Refuge,FL,23746,U.S. Fish & Wildlife Service,National Wildlife Refuge,Florida Peninsula,2,3022,116,TRUE,116,TRUE
7916,Roper Island - Emily & Richardson Preyer Buckridge Coastal Reserve,NC,8959,"NC DENR, Division of Coastal Management",State Conservation Area,Mid-Atlantic Coastal Plain,15,3030,,FALSE,886,TRUE
900542,Sparkleberry Swamp,SC,21983,South Carolina Public Service Authority,State Other,Mid-Atlantic Coastal Plain,16,3031,,FALSE,820,TRUE
397,Beaver Park IRA - Black Hills National Forest,SD,5001,US Forest Service,Inventoried Roadless Area,Black Hills,6,3032,,FALSE,375,TRUE
1623,Grand Island NRA - Hiawatha National Forest,MI,12995,US Forest Service,National Recreation Area,Great Lakes,18,3050,,FALSE,785,TRUE
2522,Terry Badlands WSA - Miles City Field Office,MT,39645,Bureau of Land Management,Wilderness Study Area,Northern Great Plains Steppe,23,3058,,FALSE,786,TRUE
2688,Soldier Creek Wilderness - Nebraska National Forest,NE,7804,US Forest Service,National Forest,Northern Great Plains Steppe,24,3064,,FALSE,998,TRUE
5291,Grassland Reserve Program - Prairie Canyonlands,CO,5477,The Nature Conservancy,Grassland Reserve Program,Central Shortgrass Prairie,5,3091,312,TRUE,312,TRUE
4793,Wolf Island National Wildlife Refuge,GA,3169,U.S. Fish & Wildlife Service,National Wildlife Refuge,South Atlantic Coastal Plain,6,3138,250,TRUE,250,TRUE
69,Mud Swamp/New River Wilderness - Apalachicola National Forest,FL,7151,US Forest Service,National Forest,East Gulf Coastal Plain,6,3141,,FALSE,439,TRUE
7078,Baraga State Forest Area,MI,8046,Michigan Department of Natural Resources,State Conservation Area,Great Lakes,21,3147,,FALSE,972,TRUE
3730,Sherburne National Wildlife Refuge,MN,30136,U.S. Fish & Wildlife Service,National Wildlife Refuge,Prairie-Forest Border,4,3156,313,TRUE,313,TRUE
2868,Poteau Mountain Wilderness - Ouachita National Forest,AR,11141,US Forest Service,National Forest,Ouachita Mountains,6,3162,,FALSE,565,TRUE
900441,Quabbin Reservoir Watershed,MA,40645,DCR - Division of Water Supply Protection,Water Supply Land,Lower New England / Northern Piedmont,1,3198,60,TRUE,60,TRUE
3725,Lusk Creek Wilderness - Shawnee National Forest,IL,6352,US Forest Service,National Forest,Interior Low Plateau,4,3202,,FALSE,628,TRUE
4554,Waccasassa Bay Preserve State Park,FL,34290,Trustees of the Internal Improvement Trust Fund,State Conservation Area,Florida Peninsula,3,3204,251,TRUE,251,TRUE
7054,Roseau River State Wildlife Management Area,MN,66943,Minnesota Department of Natural Resources,State Conservation Area,Northern Tallgrass Prairie,2,3232,117,TRUE,117,TRUE
541,Buffalo National River,AR,53140,National Park Service,,Ozarks,16,3247,,FALSE,917,TRUE
2431,Devils Backbone Wilderness - Mark Twain National Forest,MO,6691,US Forest Service,National Forest,Ozarks,17,3249,,FALSE,973,TRUE
1809,J. Clark Salyer National Wildlife Refuge,ND,53908,U.S. Fish & Wildlife Service,National Wildlife Refuge,Dakota Mixed-Grass Prairie,4,3258,184,TRUE,184,TRUE
5256,Garden Mountain NF Wilderness Area,VA,3294,USDA Forest Service,,Cumberlands And Southern Ridge And Valley,8,3260,,FALSE,692,TRUE
