"rank_top500","rank_top1000","place_id","name","owner","owner_name","designation","acres","eco_id","eco_name","states","facets","veg","footprint","landscape_score","national_rank","ecoregion_rank"
"241","241","1640","Charles C. Deam Wilderness - Hoosier National Forest","UFS","US Forest Service","National Forest","11595","17011","Interior Low Plateau","IN","26","7","0.071","49.41",2367,3
"242","242","2689","Necedah National Wildlife Refuge","FWS","U.S. Fish & Wildlife Service","National Wildlife Refuge","43742","17020","Prairie-Forest Border","WI","7","25","0.102","48.52",2779,5
"243","243","5409","Harry Truman Recreation Area","UNK","Unknown","Recreation Area","105123","17018","Ozarks","MO","26","19","0.212","47.84",3101,7
"244","244","692","Carolina Sandhills National Wildlife Refuge","FWS","U.S. Fish & Wildlife Service","National Wildlife Refuge","45801","17036","Mid-Atlantic Coastal Plain","SC","13","13","0.088","46.70",3588,12
"245","245","2522","Terry Badlands - Miles City Field Office","BLM","Bureau of Land Management","Wilderness Study Area","39645","17072","Northern Great Plains Steppe","MT","15","16","0.023","46.42",3696,23
"246","246","2867","Ouachita - Ouachita National Forest","UFS","US Forest Service","National Wildlife Refuge","138038","17017","Ouachita Mountains","AR","17","11","0.081","46.01",3852,7
"247","247","5804","Aucilla Wildlife Management Area","STL","Trustees of the Internal Improvement Trust Fund","State Conservation Area","45258","17032","East Gulf Coastal Plain","FL","14","18","0.082","45.94",3884,12
"248","248","6355","Freezout Lake Wildlife Management Area","UNK","Unknown","Conservation Area","6449","17071","Fescue-Mixed Grass Prairie","MT","10","13","0.060","45.79",3937,3
"249","249","6563","SAPELO ISLAND WMA - Sapelo Island Wildlife Management Area","SNR","Georgia Department of Natural Resources","State Conservation Area","18437","17044","South Atlantic Coastal Plain","GA","9","17","0.065","45.78",3943,9
"250","250","7121","Arthur Davis WMA","SFW","VT Department of Fish and Wildlife","Wildlife Management Area","7561","17012","Lower New England / Northern Piedmont","VT","17","22","0.094","45.49",4052,5
"251","251","5359","Deal Island Wma","SNR","MD Department of Natural Resources","Wildlife Management Area","10340","17007","Chesapeake Bay Lowlands","MD","7","8","0.084","44.93",4235,7
"252","252","1809","J. Clark Salyer National Wildlife Refuge","FWS","U.S. Fish & Wildlife Service","National Wildlife Refuge","53908","17069","Dakota Mixed-Grass Prairie","ND","9","11","0.121","44.43",4400,8
"253","253","8043","Zaleski State Forest","SNR","Ohio Department of Natural Resources","State Conservation Area","22799","17025","Western Allegheny Plateau","OH","16","6","0.088","42.83",4809,14
"254","254","4784","William L. Finley National Wildlife Refuge","FWS","U.S. Fish & Wildlife Service","National Wildlife Refuge","4734","17026","Willamette Valley - Puget Trough - Georgia Basin: Temperate Broadleaf And Mixed Forests","OR","14","12","0.281","42.68",4846,3
"255","255","1925","Kissimmee Prairie Preserve State Park","STL","Trustees of the Internal Improvement Trust Fund","State Conservation Area","53738","17033","Florida Peninsula","FL","9","17","0.134","42.63",4857,7
"256","256","3151","Quivira National Wildlife Refuge","FWS","U.S. Fish & Wildlife Service","National Wildlife Refuge","22163","17065","Central Mixed-Grass Prairie","KS","7","14","0.127","42.29",4947,10
"257","257","3734","Sheyenne - Sheyenne National Grassland","UFS","US Forest Service","Inventoried Roadless Area","14415","17073","Northern Tallgrass Prairie","ND","9","11","0.108","41.75",5057,13
"258","258","8038","Sulphur River","SFW","State Fish and Wildlife","State Conservation Area","18094","17046","Upper West Gulf Coastal Plain","AR","17","13","0.159","41.11",5185,10
"259","259","5742","Boeuf Wildlife Management Area","SFW","State Fish and Wildlife","State Conservation Area","48553","17013","Mississippi River Alluvial Plain","LA","14","10","0.100","41.08",5189,13
"260","260","3405","Sabine National Wildlife Refuge","FWS","U.S. Fish & Wildlife Service","National Wildlife Refuge","123071","17063","Gulf Coast Prairies And Marshes","LA","11","11","0.102","40.30",5344,8
"261","261","3722","Burke Branch - Shawnee National Forest","UFS","US Forest Service","Inventoried Roadless Area","6192","17024","Upper East Gulf Coastal Plain","IL","21","6","0.119","39.59",5469,7
"262","262","3358","LESSER PRAIRIE CHICKEN HABITAT PRESERVATION ACEC - Roswell Field Office","BLM","Bureau of Land Management","Area of Critical Environmental Concern","48988","17075","Southern Shortgrass Prairie","NM","10","15","0.117","39.59",5468,11
"263","263","197","Balcones Canyonlands National Wildlife Refuge","FWS","U.S. Fish & Wildlife Service","National Wildlife Refuge","14164","17070","Edwards Plateau","TX","15","11","0.196","37.91",5749,9
"264","264","7188","Red Rock Wildlife Management Area","ACE","Army Corps of Engineers","State Conservation Area","27389","17067","Central Tallgrass Prairie","IA","22","12","0.297","37.76",5772,15
"265","265","2801","REDLANDS WMA - Oconee National Forest","UFS","US Forest Service","National Forest","22444","17019","Piedmont","GA","10","8","0.154","36.90",5888,14
"266","266","5689","Milford Recreation Area","UNK","Unknown","Recreation Area","45289","17074","Osage Plains/Flint Hills Prairie","KS","9","15","0.285","36.45",5948,18
"267","267","5410","Killdeer Plains Wildlife Area","SNR","Ohio Department of Natural Resources","State Conservation Area","8456","17015","North Central Tillplain","OH","7","10","0.226","34.20",6223,11
"268","268","4881","Miller Peninsula","SPR","Washington State Parks and Recreation Commission (SPRC)","State Park","2893","17051","Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests","WA","15","8","0.318","34.20",6222,4
"269","269","8011","Myles Standish State Forest","SPR","DCR - Division of State Parks and Recreation","State Forest","4448","17014","North Atlantic Coast","MA","9","9","0.246","33.92",6258,12
"270","270","7398","Cooper Recreation Area","UNK","Unknown","Recreation Management Area","32037","17068","Crosstimbers And Southern Tallgrass Prairie","TX","7","10","0.216","32.31",6434,18
"271","271","63","Sunset - Apache National Forest","UFS","US Forest Service","Inventoried Roadless Area","28925","17088","Apache Highlands","AZ","60","27","0.053","68.71",26,3
"272","272","4151","Hoover Wilderness - Toiyabe National Forest","UFS","US Forest Service","National Forest","96860","17043","Sierra Nevada","CA","67","36","0.001","65.50",52,8
"273","273","1155","Boulder Mtn. / Boulder Top / Deer Lake - Dixie National Forest","UFS","US Forest Service","Inventoried Roadless Area","108311","17047","Utah High Plateaus","UT","84","32","0.055","65.26",56,9
"274","274","2619","Glacier Peak J - Mt. Baker National Forest","UFS","US Forest Service","Inventoried Roadless Area","16180","17039","North Cascades","WA","44","21","0.077","64.11",69,14
"275","275","3045","Linville Gorge Wilderness - Pisgah National Forest","UFS","US Forest Service","National Forest","11537","17021","Southern Blue Ridge","NC","24","13","0.059","61.14",121,8
"276","276","6443","Siamese Ponds Wilderness","SDC","NYS Department of Environmental Conservation","State Forest","114090","17016","Northern Appalachian / Acadian","NY","20","31","0.015","60.52",150,13
"277","277","1453","Glen Canyon National Recreation Area","NPS","National Park Service","National Recreation Area","1233824","17091","Colorado Plateau","AZ, UT","66","35","0.025","60.11",165,9
"278","278","3586","Trickle Mountain - San Luis Valley Field Office","BLM","Bureau of Land Management","Area of Critical Environmental Concern","38812","17045","Southern Rocky Mountains","CO","68","30","0.055","59.73",178,4
"279","279","2320","Silver Peak Wilderness - Los Padres National Forest","UFS","US Forest Service","National Forest","31232","17085","California Central Coast","CA","19","28","0.030","59.52",191,7
"280","280","1406","Mount St. Helens - Gifford Pinchot National Forest","UFS","US Forest Service","National Forest","111476","17049","West Cascades","WA","105","26","0.077","57.89",293,7
"281","281","1419","Aldo Leopold Wilderness - Gila National Forest","UFS","US Forest Service","National Forest","203524","17027","Arizona-New Mexico Mountains","NM","34","36","0.003","57.44",331,9
"282","282","4060","Palisades - Targhee National Forest","UFS","US Forest Service","Wilderness Study Area","153329","17048","Utah-Wyoming Rocky Mountains","ID, WY","124","27","0.076","57.36",339,10
"283","283","2082","Brokeoff Mountains - Las Cruces District Office","BLM","Bureau of Land Management","Wilderness Study Area","31091","17090","Chihuahuan Desert","NM, TX","56","23","0.005","56.82",381,3
"284","284","1260","Fakahatchee Strand Preserve State Park","STL","Trustees of the Internal Improvement Trust Fund","State Conservation Area","76840","17101","Tropical Florida","FL","7","18","0.053","56.32",422,3
"285","285","3441","Lemhi Range - Salmon National Forest","UFS","US Forest Service","Inventoried Roadless Area","166790","17037","Middle Rockies - Blue Mountains","ID","69","32","0.045","55.99",479,20
"286","286","627","Clover Mountains - Caliente Field Office","BLM","Bureau of Land Management","National Public Lands
","85610","17093","Great Basin","NV","50","35","0.001","55.74",505,6
"287","287","4306","Yolla Bolly-Middle Eel Wilderness - Trinity National Forest","UFS","US Forest Service","National Forest","36629","17029","California North Coast","CA","29","19","0.001","55.65",521,10
"288","288","2834","Mount Skokomish Wilderness - Olympic National Forest","UFS","US Forest Service","National Forest","12428","17041","Pacific Northwest Coast","WA","30","21","0.028","55.50",539,7
"289","289","887","Mallard-Larkins - Clearwater National Forest","UFS","US Forest Service","Inventoried Roadless Area","109573","17030","Canadian Rocky Mountains","ID","41","23","0.011","55.26",578,14
"290","290","2643","Badger Creek Wilderness - Mt. Hood National Forest","UFS","US Forest Service","National Forest","16945","17031","East Cascades - Modoc Plateau","OR","56","32","0.009","54.82",643,3
"291","291","639","Mormon Mountains - Caliente Field Office","BLM","Bureau of Land Management","National Public Lands
","111517","17094","Mojave Desert","NV","37","21","0.001","54.51",705,10
"292","292","1897","Arrastra Mountain - Kingman Field Office","BLM","Bureau of Land Management","National Public Lands
","124288","17095","Sonoran Desert","AZ","20","19","0.005","54.07",791,7
"293","293","17","Fish Canyon - Angeles National Forest","UFS","US Forest Service","Inventoried Roadless Area","29884","17086","California South Coast","CA","47","21","0.070","54.02",802,9
"294","294","1941","Siskiyou Wilderness - Klamath National Forest","UFS","US Forest Service","National Forest","70719","17035","Klamath Mountains","CA","29","26","0.004","53.80",858,8
"295","295","4937","Red Lake State Forest","SNR","Minnesota Department of Natural Resources","State Resource Management Area","66053","17023","Superior Mixed Forest","MN","19","20","0.051","53.79",863,31
"296","296","7099","Elk State Forest","SNR","PA Bureau of Forestry","State Forest","173529","17010","High Allegheny Plateau","PA","19","19","0.052","53.71",875,7
"297","297","3307","Steamboat Mountain ACEC - Rock Springs Field Office","BLM","Bureau of Land Management","Area of Critical Environmental Concern","47134","17097","Wyoming Basins","WY","17","29","0.017","53.49",917,14
"298","298","4031","Tahquamenon Falls State Park","SNR","Michigan Department of Natural Resources","State Park","45424","17009","Great Lakes","MI","29","26","0.018","53.05",1032,4
"299","299","2230","Little Pend Oreille National Wildlife Refuge","FWS","U.S. Fish & Wildlife Service","National Wildlife Refuge","38094","17040","Okanagan","WA","35","21","0.070","52.80",1109,16
"300","300","560","Rincon WSA - Burns Andrews Field Office","BLM","Bureau of Land Management","Wilderness Study Area","104141","17092","Columbia Plateau","OR","47","27","0.002","52.33",1237,20
"301","301","7098","Sproul State Forest","SNR","PA Bureau of Forestry","State Forest","282513","17006","Central Appalachian Forest","PA","20","24","0.080","52.31",1239,19
"302","302","3670","Chico - Sequoia National Forest","UFS","US Forest Service","Inventoried Roadless Area","38157","17087","Great Central Valley","CA","43","23","0.124","52.07",1302,6
"303","303","1921","Catahoula - Kisatchie National Forest","UFS","US Forest Service","National Wildlife Refuge","37628","17050","West Gulf Coastal Plain","LA","9","16","0.064","50.64",1822,4
"304","304","5839","Red Mountain Ranch / Laramie Foothills Mountains to Plains","LOC","Larimer County Parks and Open Lands","Ranch Easement","13712","17066","Central Shortgrass Prairie","CO, WY","19","22","0.083","50.38",1924,4
"305","305","2521","Seven Blackfoot - Miles City Field Office","BLM","Bureau of Land Management","Wilderness Study Area","20714","17072","Northern Great Plains Steppe","MT","34","15","0.025","48.71",2681,9
"306","306","6210","Big South Fork N.R.R.A. - Big South Fork National River and Recreation Area","JNT","National Park Service & National Park Service",NULL,"69512","17008","Cumberlands And Southern Ridge And Valley","KY, TN","34","6","0.082","47.94",3059,8
"307","307","397","Beaver Park - Black Hills National Forest","UFS","US Forest Service","Inventoried Roadless Area","5001","17028","Black Hills","SD","25","7","0.194","47.90",3070,6
"308","308","2426","Maplewood State Park","SNR","Minnesota Department of Natural Resources","State Park","8069","17020","Prairie-Forest Border","MN","11","19","0.086","47.57",3220,7
"309","309","541","Buffalo National River","NPS","National Park Service",NULL,"53140","17018","Ozarks","AR","17","16","0.126","47.42",3293,12
"310","310","7901","Cardigan Mountain State Forest","STA","NH Department of Resources & Economic Development","State Forest","5943","17012","Lower New England / Northern Piedmont","NH","18","24","0.081","47.12",3435,3
"311","311","2848","Big Gum Swamp Wilderness - Osceola National Forest","UFS","US Forest Service","National Forest","13835","17044","South Atlantic Coastal Plain","FL","2","16","0.011","46.20",3785,8
"312","312","2346","Lower Suwannee National Wildlife Refuge","FWS","U.S. Fish & Wildlife Service","National Wildlife Refuge","43719","17032","East Gulf Coastal Plain","FL","14","21","0.100","46.13",3805,11
"313","313","2441","Mattamuskeet National Wildlife Refuge","FWS","U.S. Fish & Wildlife Service","National Wildlife Refuge","48835","17036","Mid-Atlantic Coastal Plain","NC","17","8","0.103","45.61",4012,15
"314","314","5608","Millwood Recreation Area","UNK","Unknown","Recreation Area","36763","17046","Upper West Gulf Coastal Plain","AR","20","18","0.149","44.68",4316,3
"315","315","2873","Winding Stair Mountain - Ouachita National Forest","UFS","US Forest Service","National Recreation Area","26617","17017","Ouachita Mountains","OK","17","11","0.114","44.21",4464,15
"316","316","5130","Burnsville Lake Wildlife Management Area","FED","Army Corps of Engineers","Wildlife Management Area","13268","17025","Western Allegheny Plateau","WV","17","8","0.103","43.33",4688,11
"317","317","6151","Mockhorn Wildlife Management Area","SFW","VA Dept of Wildlife Resources","Wildlife Management Area","7341","17007","Chesapeake Bay Lowlands","VA","3","3","0.023","42.30",4945,12
"318","318","7990","Kerr Wildlife Management Area","SPR","Texas Parks and Wildlife Department","State Conservation Area","6514","17070","Edwards Plateau","TX","17","8","0.105","42.01",5019,6
"319","319","853","Chickasaw National Wildlife Refuge","FWS","U.S. Fish & Wildlife Service","National Wildlife Refuge","16636","17013","Mississippi River Alluvial Plain","TN","19","14","0.132","41.96",5022,7
"320","320","6386","Cumberland Recreation Area","UNK","Unknown","Recreation Area","86144","17011","Interior Low Plateau","KY","25","16","0.290","41.63",5083,17
"321","321","5071","Kanopolis Recreation Area","UNK","Unknown","Recreation Area","19639","17065","Central Mixed-Grass Prairie","KS","11","18","0.211","41.15",5178,13
"322","322","2023","Lake Meredith National Recreation Area","NPS","National Park Service","National Recreation Area","40797","17075","Southern Shortgrass Prairie","TX","15","20","0.135","41.05",5196,7
"323","323","3733","Mcleod - Sheyenne National Grassland","UFS","US Forest Service","Inventoried Roadless Area","9088","17073","Northern Tallgrass Prairie","ND","6","11","0.115","40.26",5352,18
"324","324","5624","Three Lakes Wildlife Management Area","STL","Trustees of the Internal Improvement Trust Fund","State Conservation Area","63521","17033","Florida Peninsula","FL","7","15","0.149","40.25",5355,19
"325","325","6024","Perch River Wma","SDC","NYS Department of Environmental Conservation","Wildlife Management Area","7124","17022","St. Lawrence - Champlain Valley","NY","8","22","0.309","39.81",5437,10
"326","326","4830","Union Ridge Conservation Area","UNK","Unknown","State Conservation Area","8208","17067","Central Tallgrass Prairie","MO","11","10","0.163","39.73",5447,7
"327","327","8028","South Mountains Game Land Dedicated Nature Preserve - South Mountains Game Land","SFW","NC Wildlife Resources Commission",NULL,"18177","17019","Piedmont","NC","17","10","0.166","39.07",5550,6
"328","328","3589","Sand Lake National Wildlife Refuge","FWS","U.S. Fish & Wildlife Service","National Wildlife Refuge","19485","17069","Dakota Mixed-Grass Prairie","SD","6","10","0.182","38.90",5577,13
"329","329","1343","Flint Hills National Wildlife Refuge","FWS","U.S. Fish & Wildlife Service","National Wildlife Refuge","18552","17074","Osage Plains/Flint Hills Prairie","KS","9","10","0.228","36.79",5907,17
"330","330","6490","Rogue River State Game Area","SNR","Michigan Department of Natural Resources","State Conservation Area","5719","17015","North Central Tillplain","MI","14","23","0.360","35.44",6063,7
"331","331","5264","Meeman-Shelby Forest Wildlife Management Area","STA","Tennessee Department of Environment and Conservation (TDEC)","State Conservation Area","9433","17024","Upper East Gulf Coastal Plain","TN","9","13","0.202","35.27",6087,24
"332","332","1987","Laguna Atascosa National Wildlife Refuge","FWS","U.S. Fish & Wildlife Service","National Wildlife Refuge","12546","17063","Gulf Coast Prairies And Marshes","TX","7","14","0.201","34.63",6167,17
"333","333","5695","Makepeace Lake Wildlife Management Area","STA","New Jersey Department of Environmental Protection","Wildlife Management Area","2525","17014","North Atlantic Coast","NJ","7","8","0.216","34.17",6227,11
"334","334","5285","Lake Murray State Resort Park","SPR","Tourism and Recreation Department","State Park","18365","17068","Crosstimbers And Southern Tallgrass Prairie","OK","21","7","0.242","33.04",6350,15
"335","335","7007","Fern Ridge Wildlife Area","STA","Unknown","State Conservation Area","3038","17026","Willamette Valley - Puget Trough - Georgia Basin: Temperate Broadleaf And Mixed Forests","OR","5","4","0.302","29.29",6683,6
"336","336","6449","Skagit-Snoqualmie Wildlife Area Complex","SFW","Washington State Department of Fish & Wildlife (WDFW)","State Conservation Area","2498","17051","Willamette Valley - Puget Trough - Georgia Basin: Temperate Conifer Forests","WA","7","4","0.375","24.85",6930,6
"337","337","2540","Floy Canyon - Moab Field Office","BLM","Bureau of Land Management","Wilderness Study Area","72122","17047","Utah High Plateaus","UT","73","31","0.001","66.12",46,7
"338","338","5603","Morning Star Natural Resources Conservation Area","SNR","Washington State Department of Natural Resources (WADNR)","State Conservation Area","32746","17039","North Cascades","WA","38","26","0.077","65.84",49,10
"339","339","3800","Ansel Adams Wilderness - Sierra National Forest","UFS","US Forest Service","National Forest","152080","17043","Sierra Nevada","CA","66","25","0.004","60.86",136,19
"340","340","5721","Moose River Plains Wild Forest","SDC","NYS Department of Environmental Conservation","Nature","67022","17016","Northern Appalachian / Acadian","NY","21","31","0.026","60.33",154,14
NULL,"341","1001","Chiricahua Wilderness - Coronado National Forest","UFS","US Forest Service","National Forest","86640","17088","Apache Highlands","AZ","37","19","0.008","59.91",170,18
"341","342","1837","Saddle Mountain Wilderness - Kaibab National Forest","UFS","US Forest Service","National Forest","40806","17091","Colorado Plateau","AZ","63","32","0.003","59.79",174,10
"342","343","2292","Dick Smith Wilderness - Los Padres National Forest","UFS","US Forest Service","National Forest","70985","17085","California Central Coast","CA","27","22","0.008","58.78",239,8
"343","344","4666","Eagles Nest Wilderness - White River National Forest","UFS","US Forest Service","National Forest","135080","17045","Southern Rocky Mountains","CO","62","28","0.052","58.12",277,11
"344","345","4250","Four Peaks Wilderness - Tonto National Forest","UFS","US Forest Service","National Forest","57580","17095","Sonoran Desert","AZ","28","27","0.049","57.85",301,3
"345","346","1401","Goat Rocks Wilderness - Gifford Pinchot National Forest","UFS","US Forest Service","National Forest","66713","17049","West Cascades","WA","62","27","0.009","57.36",338,8
"346","347","492","West Slope Winds - Bridger National Forest","UFS","US Forest Service","Inventoried Roadless Area","142962","17048","Utah-Wyoming Rocky Mountains","WY","83","33","0.054","56.64",396,15
"347","348","3265","Cebolla Wilderness - Rio Puerco Field Office","BLM","Bureau of Land Management","National Public Lands
","61379","17027","Arizona-New Mexico Mountains","NM","60","22","0.005","56.50",410,11
"348","349","3193","Inyo Mountains Wilderness - Ridgecrest Field Office","BLM","Bureau of Land Management","National Public Lands
","77955","17093","Great Basin","CA","54","35","0.000","56.15",453,4
"349","350","805","Mark Trail Wilderness - Chattahoochee National Forest","UFS","US Forest Service","National Forest","16611","17021","Southern Blue Ridge","GA","19","13","0.085","56.13",457,16
"350","351","2505","Thomes Creek - Mendocino National Forest","UFS","US Forest Service","Inventoried Roadless Area","15881","17029","California North Coast","CA","17","31","0.061","55.74",507,8
"351","352","2252","Hoodoo - Lolo National Forest","UFS","US Forest Service","Inventoried Roadless Area","105017","17030","Canadian Rocky Mountains","ID, MT","40","23","0.009","55.28",572,11
NULL,"353","2974","Secesh - Payette National Forest","UFS","US Forest Service","Inventoried Roadless Area","245347","17037","Middle Rockies - Blue Mountains","ID","65","27","0.022","54.98",624,32
"352","354","7462","Big Indian Wilderness","SDC","NYS Department of Environmental Conservation","Nature","33873","17010","High Allegheny Plateau","NY","17","23","0.052","54.87",635,5
"353","355","6313","Tabby Mountain State Wildlife Area","SNR","Utah Department of Natural Resources","State Conservation Area","40985","17097","Wyoming Basins","UT","40","33","0.083","54.71",664,10
NULL,"356","313","Beltrami Wildlife Management Area","FWS","U.S. Fish & Wildlife Service","Conservation Area","34381","17023","Superior Mixed Forest","MN","7","25","0.012","54.66",677,22
"354","357","2841","Upper Skokomish - Olympic National Forest","UFS","US Forest Service","Inventoried Roadless Area","9264","17041","Pacific Northwest Coast","WA","30","18","0.018","54.26",750,9
"355","358","977","Bald Snow - Colville National Forest","UFS","US Forest Service","Inventoried Roadless Area","23186","17040","Okanagan","WA","27","21","0.020","53.98",811,12
"356","359","1203","Skedaddle Wilderness Study Area - Eagle Lake Field Office","BLM","Bureau of Land Management","Wilderness Study Area","61866","17092","Columbia Plateau","CA","64","29","0.014","53.91",827,8
"357","360","2307","Matilija Wilderness - Los Padres National Forest","UFS","US Forest Service","National Forest","28858","17086","California South Coast","CA","29","19","0.011","53.54",903,10
NULL,"361","205","Amargosa North - Barstow Field Office","BLM","Bureau of Land Management","Area of Critical Environmental Concern","112517","17094","Mojave Desert","CA","34","21","0.007","53.51",912,15
"358","362","5718","Tea Creek Wildlife Management Area - Monongahela NF","FED","USDA Forest Service","National Forest","36189","17006","Central Appalachian Forest","WV","34","16","0.072","53.47",927,13
"359","363","3883","Sleeping Bear Dunes Wilderness","NPS","National Park Service",NULL,"26582","17009","Great Lakes","MI","30","28","0.045","52.42",1216,8
"360","364","3684","Mill Creek - Sequoia National Forest","UFS","US Forest Service","Inventoried Roadless Area","27543","17087","Great Central Valley","CA","29","23","0.077","51.92",1337,7
NULL,"365","3718","Whiskeytown Shasta-Trinity - Shasta National Forest","UFS","US Forest Service","National Recreation Area","127089","17035","Klamath Mountains","CA","43","27","0.092","51.37",1547,15
"361","366","1124","Newberry - Deschutes National Forest","UFS","US Forest Service","National Forest","27188","17031","East Cascades - Modoc Plateau","OR","75","25","0.070","51.03",1666,20
"362","367","5895","Picayune Strand State Forest","STL","Trustees of the Internal Improvement Trust Fund","State Resource Management Area","73633","17101","Tropical Florida","FL","7","16","0.141","50.08",2055,8
NULL,"368","5638","Brantley Wildlife Area","SFW","State Fish and Wildlife","State Conservation Area","28860","17090","Chihuahuan Desert","NM","22","27","0.079","48.71",2684,12
NULL,"369","5982","Stockton Recreation Area","UNK","Unknown","Recreation Area","41090","17018","Ozarks","MO","21","14","0.150","46.71",3586,15
NULL,"370","4882","Econfina Creek Water Management Area","REG","Northwest Florida Water Management District","Watershed Protection Area","37811","17032","East Gulf Coastal Plain","FL","16","26","0.137","46.60",3632,8
NULL,"371","6587","Friendshuh Game Production Area","SFW","State Fish and Wildlife","State Conservation Area","4544","17028","Black Hills","SD","17","8","0.157","46.57",3645,7
NULL,"372","6925","State Game Land 074","SFW","PA Game Commission","State Land","6568","17025","Western Allegheny Plateau","PA","30","14","0.177","46.50",3675,4
NULL,"373","6412","Chuck Swan State Forest","SNR","State Department of Agriculture, Division of Forestry","State Resource Management Area","19546","17008","Cumberlands And Southern Ridge And Valley","TN","30","9","0.121","45.85",3923,14
NULL,"374","1449","Bitter Creek - Glasgow Field Office","BLM","Bureau of Land Management",NULL,"60686","17072","Northern Great Plains Steppe","MT","15","12","0.009","45.70",3975,28
NULL,"375","8071","Gull Rock Game Land","SFW","NC Wildlife Resources Commission","Conservation Area","20461","17036","Mid-Atlantic Coastal Plain","NC","7","10","0.034","45.42",4080,19
NULL,"376","7530","Gile State Forest","STA","NH Department of Resources & Economic Development","State Forest","6725","17012","Lower New England / Northern Piedmont","NH","16","30","0.145","45.13",4178,7
NULL,"377","4872","Pushmataha Wildlife Management Area","SDC","Department of Wildlife Conservation","State Conservation Area","19071","17017","Ouachita Mountains","OK","17","9","0.080","45.08",4194,11
NULL,"378","6553","ALTAMAHA WMA - Altamaha Wildlife Management Area","SNR","Georgia Department of Natural Resources","State Conservation Area","15879","17044","South Atlantic Coastal Plain","GA","15","15","0.116","43.95",4535,13
NULL,"379","3730","Sherburne National Wildlife Refuge","FWS","U.S. Fish & Wildlife Service","National Wildlife Refuge","30136","17020","Prairie-Forest Border","MN","17","30","0.291","43.68",4606,8
NULL,"380","6623","Fish Creek Wma","SDC","NYS Department of Environmental Conservation","Wildlife Management Area","4558","17022","St. Lawrence - Champlain Valley","NY","9","19","0.223","43.37",4676,6
NULL,"381","5325","Beaver River Wildlife Management Area","SDC","Department of Wildlife Conservation","State Conservation Area","18741","17066","Central Shortgrass Prairie","OK","14","18","0.158","43.12",4737,13
NULL,"382","7880","Hamre State Wildlife Management Area","SNR","Minnesota Department of Natural Resources","State Conservation Area","4330","17073","Northern Tallgrass Prairie","MN","7","8","0.046","43.11",4742,9
NULL,"383","6422","Monroe Recreation Area","UNK","Unknown","Recreation Area","23028","17011","Interior Low Plateau","IN","27","9","0.212","43.08",4752,14
NULL,"384","6462","Cheyenne Bottoms Wildlife Area","SFW","State Fish and Wildlife","State Conservation Area","18843","17065","Central Mixed-Grass Prairie","KS","8","14","0.127","42.64",4856,8
NULL,"385","5625","three Forks Conservation Area","REG","St. Johns River Water Management District","State Resource Management Area","47040","17033","Florida Peninsula","FL","13","14","0.137","42.48",4897,8
NULL,"386","6096","Chesapeake Forest Lands","SNR","MD Department of Natural Resources","State Forest","4358","17007","Chesapeake Bay Lowlands","MD","7","9","0.138","42.46",4903,11
NULL,"387","1896","Kickapoo Cavern State Park","SPR","Texas Parks and Wildlife Department","State Park","6391","17070","Edwards Plateau","TX","11","8","0.069","42.37",4921,5
NULL,"388","142","Arrowwood National Wildlife Refuge","FWS","U.S. Fish & Wildlife Service","National Wildlife Refuge","13262","17069","Dakota Mixed-Grass Prairie","ND","9","11","0.164","42.07",4996,10
NULL,"389","6036","Rice Lake State Fish and Wildlife Area","STA","Other State Land","State Conservation Area","7061","17067","Central Tallgrass Prairie","IL","17","10","0.168","41.89",5031,4
NULL,"390","1633","Hillside National Wildlife Refuge","FWS","U.S. Fish & Wildlife Service","National Wildlife Refuge","15482","17013","Mississippi River Alluvial Plain","MS","9","17","0.104","41.65",5077,9
NULL,"391","8042","Lafayette Wildlife Management Area","SFW","State Fish and Wildlife","State Conservation Area","14590","17046","Upper West Gulf Coastal Plain","AR","8","15","0.139","40.57",5289,13
NULL,"392","5802","Wlf - Lake Anacoco / Lake Vernon","SFW","State Fish and Wildlife","State Recreation Area","22731","17050","West Gulf Coastal Plain","LA","9","20","0.301","40.13",5380,11
NULL,"393","7919","Matador Wildlife Management Area","SPR","Texas Parks and Wildlife Department","State Conservation Area","28288","17075","Southern Shortgrass Prairie","TX","9","12","0.099","39.42",5499,13
NULL,"394","6603","Yankee Springs Recreation Area","SNR","Michigan Department of Natural Resources","State Recreation Area","4595","17015","North Central Tillplain","MI","24","16","0.306","38.22",5690,5
NULL,"395","7953","Mad Island Wildlife Management Area","SPR","Texas Parks and Wildlife Department","State Conservation Area","7213","17063","Gulf Coast Prairies And Marshes","TX","2","11","0.098","37.98",5736,12
NULL,"396","7837","Appomattox-Buckingham State Forest","SNR","VA Dept of Forestry","State Forest","19430","17019","Piedmont","VA","13","6","0.153","37.16",5849,12
NULL,"397","5428","Oologah Wildlife Management Area","SDC","Department of Wildlife Conservation","State Conservation Area","15918","17074","Osage Plains/Flint Hills Prairie","OK","9","5","0.186","36.31",5968,20
NULL,"398","1585","Hatchie National Wildlife Refuge","FWS","U.S. Fish & Wildlife Service","National Wildlife Refuge","9437","17024","Upper East Gulf Coastal Plain","TN","9","7","0.146","36.03",5995,21
NULL,"399","4876","Delaware Bayshore","NGO","Wildlife Preserves","Nature","2634","17014","North Atlantic Coast","NJ","4","7","0.172","34.66",6163,9
