"rank_top500","rank_top1000","place_id","name","owner","owner_name","designation","acres","eco_id","eco_name","states","facets","veg","footprint","landscape_score","national_rank","ecoregion_rank"
NULL,"879","5226","State Game Land 075","SFW","PA Game Commission","State Land","27371","17010","High Allegheny Plateau","PA","17","17","0.097","49.43",2359,36
NULL,"880","5006","Sault Ste. Marie State Forest Area","SNR","Michigan Department of Natural Resources","State Conservation Area","37201","17009","Great Lakes","MI","9","27","0.036","48.29",2899,17
NULL,"881","2164","Lava Beds Wilderness","NPS","National Park Service",NULL,"27702","17031","East Cascades - Modoc Plateau","CA","25","18","0.005","47.49",3255,54
NULL,"882","4870","Christmas Mountains Ranch","STA","Texas State University System","State Resource Management Area","9603","17090","Chihuahuan Desert","TX","17","19","0.032","47.48",3261,18
NULL,"883","2934","Santa Rosa Wildlife Area - Palm Springs/S. Coast Field Office","BLM","Bureau of Land Management & Bureau of Land Management",NULL,"34740","17086","California South Coast","CA","30","9","0.029","47.21",3397,46
NULL,"884","5813","Gene Rush/buffalo River","SFW","State Fish and Wildlife","State Conservation Area","15232","17018","Ozarks","AR","17","9","0.103","45.24",4136,35
NULL,"885","1433","Hell Hole - Gila National Forest","UFS","US Forest Service",NULL,"19528","17088","Apache Highlands","AZ, NM","42","19","0.023","60.74",141,14
"487","886","7103","Moosehead Region","NGO","Appalachian Mountain Club","Private Conservaed Land","17853","17016","Northern Appalachian / Acadian","ME","24","25","0.010","59.71",181,17
NULL,"887","155","0401011 - Ashley National Forest","UFS","US Forest Service",NULL,"30014","17047","Utah High Plateaus","UT","46","32","0.069","58.91",235,28
NULL,"888","196","Sacatar Trail Wilderness - Bakersfield Field Office","BLM","Bureau of Land Management","National Public Lands
","18877","17043","Sierra Nevada","CA","63","17","0.023","56.10",463,35
"488","889","2501","Skeleton Glade - Mendocino National Forest","UFS","US Forest Service",NULL,"9166","17029","California North Coast","CA","25","21","0.002","55.71",511,9
"489","890","2407","Horse Mountain - Mans Peak - Manti-La Sal National Forest","UFS","US Forest Service","Inventoried Roadless Area","22122","17091","Colorado Plateau","UT","43","30","0.018","55.52",538,23
NULL,"891","4538","Valles Caldera National Preserve","NPS","National Park Service","Conservation Area","87626","17045","Southern Rocky Mountains","NM","35","28","0.036","54.61",691,74
NULL,"892","2678","Tusquitee Bald - Nantahala National Forest","UFS","US Forest Service","Inventoried Roadless Area","13664","17021","Southern Blue Ridge","NC","23","7","0.103","54.42",722,23
NULL,"893","2858","Wild and Scenic Rivers - Wild - Ottawa National Forest","UFS","US Forest Service","Wild and Scenic River","8269","17023","Superior Mixed Forest","MI","13","20","0.021","53.43",935,37
NULL,"894","897","Selway-Bitterroot Wilderness - Clearwater National Forest","UFS","US Forest Service","National Forest","261137","17037","Middle Rockies - Blue Mountains","ID, MT","53","23","0.001","53.42",936,59
NULL,"895","952","Spion Kop - Coeur D Alene National Forest","UFS","US Forest Service","Inventoried Roadless Area","22094","17030","Canadian Rocky Mountains","ID","28","21","0.003","53.23",986,29
NULL,"896","2206","Little Dog And Pup Canyons - Lincoln National Forest","UFS","US Forest Service","Inventoried Roadless Area","25387","17027","Arizona-New Mexico Mountains","NM","34","26","0.019","53.03",1035,30
NULL,"897","1708","Quinn - Humboldt National Forest","UFS","US Forest Service","Inventoried Roadless Area","60382","17093","Great Basin","NV","47","27","0.002","52.73",1132,33
NULL,"898","146","0401002 - Ashley National Forest","UFS","US Forest Service",NULL,"34481","17048","Utah-Wyoming Rocky Mountains","UT","56","29","0.051","52.67",1148,42
NULL,"899","2234","Cross Mountain - Little Snake Field Office","BLM","Bureau of Land Management","Wilderness Study Area","14268","17097","Wyoming Basins","CO","20","26","0.020","52.43",1212,19
"490","900","2157","Thousand Lakes Wilderness - Lassen National Forest","UFS","US Forest Service","National Forest","16414","17035","Klamath Mountains","CA","34","20","0.007","51.93",1334,10
NULL,"901","4766","Mount Washington Wilderness - Willamette National Forest","UFS","US Forest Service","National Forest","40143","17049","West Cascades","OR","38","20","0.006","51.90",1343,26
NULL,"902","1723","Santa Rosa-Paradise Peak Wilderness - Humboldt National Forest","UFS","US Forest Service","National Forest","32064","17092","Columbia Plateau","NV","35","30","0.009","51.76",1389,25
NULL,"903","6092","Loomis Natural Resources Conservation Area","SNR","Washington State Department of Natural Resources (WADNR)","State Conservation Area","10632","17040","Okanagan","WA","20","22","0.045","51.66",1433,21
NULL,"904","239","Old Woman Springs Wildlife Linkage - Barstow Field Office","BLM","Bureau of Land Management","Area of Critical Environmental Concern","51571","17094","Mojave Desert","CA","34","20","0.044","51.15",1619,30
NULL,"905","6818","State Game Land 034","SFW","PA Game Commission","State Land","9975","17006","Central Appalachian Forest","PA","17","19","0.048","50.80",1755,33
NULL,"906","6911","State Game Land 028","SFW","PA Game Commission","State Land","11164","17010","High Allegheny Plateau","PA","17","13","0.037","50.74",1786,23
NULL,"907","2918","Mecca Hills Wilderness - Palm Springs/S. Coast Field Office","BLM","Bureau of Land Management","National Public Lands
","25331","17095","Sonoran Desert","CA","39","9","0.047","50.51",1870,19
NULL,"908","7682","Carrizo Plains Ecological Reserve","SFW","California Department of Fish and Wildlife","State Conservation Area","24735","17085","California Central Coast","CA","19","16","0.077","49.46",2346,42
NULL,"909","2883","East Fork Wilderness - Ozark National Forest","UFS","US Forest Service","National Forest","10495","17018","Ozarks","AR","16","7","0.033","47.65",3184,10
NULL,"910","7826","Tennessee National Wildlife Refuge","UNK","Unknown","National Wildlife Refuge","5245","17011","Interior Low Plateau","TN","22","9","0.097","47.46",3273,6
NULL,"911","1216","Fish Creek Mountains Wilderness - El Centro Field Office","BLM","Bureau of Land Management","National Public Lands
","21212","17086","California South Coast","CA","29","7","0.004","47.36",3325,44
NULL,"912","2163","Lava Beds National Monument","NPS","National Park Service",NULL,"18667","17031","East Cascades - Modoc Plateau","CA","26","20","0.021","47.33",3340,57
NULL,"913","3811","Sacate Ridge - Sierra National Forest","UFS","US Forest Service","Research Natural Area","4017","17087","Great Central Valley","CA","18","14","0.054","46.73",3578,17
NULL,"914","7803","Escanaba State Forest Area","SNR","Michigan Department of Natural Resources","State Conservation Area","52271","17009","Great Lakes","MI","15","25","0.090","45.88",3905,53
NULL,"915","1067","King Mountain - Custer National Forest","UFS","US Forest Service","Inventoried Roadless Area","12130","17072","Northern Great Plains Steppe","MT","32","13","0.068","45.32",4112,32
NULL,"916","153","0401009 - Ashley National Forest","UFS","US Forest Service",NULL,"30338","17047","Utah High Plateaus","UT","51","29","0.064","58.38",259,30
NULL,"917","998","Butterfly Roadless Area - Coronado National Forest","UFS","US Forest Service","Inventoried Roadless Area","39601","17088","Apache Highlands","AZ","32","24","0.055","57.89",292,32
