place_id,name,states,acres,owner_name,designation,ecoregion,ecoregion_rank,national_rank,rank_top500,in_top500,rank_top1000,in_top1000
492,West Slope Winds - Bridger National Forest,WY,142962,US Forest Service,Inventoried Roadless Area,Utah-Wyoming Rocky Mountains,15,391,347,TRUE,348,TRUE
3265,Cebolla Wilderness - Rio Puerco Field Office,NM,61379,Bureau of Land Management,"National Public Lands
",Arizona-New Mexico Mountains,11,405,348,TRUE,349,TRUE
3193,Inyo Mountains Wilderness - Ridgecrest Field Office,CA,77955,Bureau of Land Management,"National Public Lands
",Great Basin,4,448,349,TRUE,350,TRUE
2505,Thomes Creek - Mendocino National Forest,CA,15881,US Forest Service,Inventoried Roadless Area,California North Coast,8,502,350,TRUE,351,TRUE
2252,Hoodoo - Lolo National Forest,"ID, MT",105017,US Forest Service,Inventoried Roadless Area,Canadian Rocky Mountains,10,567,351,TRUE,352,TRUE
2974,Secesh - Payette National Forest,ID,245347,US Forest Service,Inventoried Roadless Area,Middle Rockies - Blue Mountains,32,617,,FALSE,353,TRUE
7462,Big Indian Wilderness,NY,33873,NYS Department of Environmental Conservation,Nature,High Allegheny Plateau,5,628,352,TRUE,354,TRUE
6313,Tabby Mountain State Wildlife Area,UT,40985,Utah Department of Natural Resources,State Conservation Area,Wyoming Basins,10,657,353,TRUE,355,TRUE
313,Beltrami Wildlife Management Area,MN,34381,U.S. Fish & Wildlife Service,Conservation Area,Superior Mixed Forest,22,670,,FALSE,356,TRUE
2841,Upper Skokomish - Olympic National Forest,WA,9264,US Forest Service,Inventoried Roadless Area,Pacific Northwest Coast,9,742,354,TRUE,357,TRUE
977,Bald Snow - Colville National Forest,WA,23186,US Forest Service,Inventoried Roadless Area,Okanagan,12,803,355,TRUE,358,TRUE
1203,Skedaddle Wilderness Study Area - Eagle Lake Field Office,CA,61866,Bureau of Land Management,Wilderness Study Area,Columbia Plateau,8,819,356,TRUE,359,TRUE
2307,Matilija Wilderness - Los Padres National Forest,CA,28858,US Forest Service,National Forest,California South Coast,10,895,357,TRUE,360,TRUE
205,Amargosa North - Barstow Field Office,CA,112517,Bureau of Land Management,Area of Critical Environmental Concern,Mojave Desert,15,904,,FALSE,361,TRUE
5718,Tea Creek Wildlife Management Area - Monongahela NF,WV,36189,USDA Forest Service,National Forest,Central Appalachian Forest,13,919,358,TRUE,362,TRUE
3883,Sleeping Bear Dunes Wilderness,MI,26582,National Park Service,,Great Lakes,8,1207,359,TRUE,363,TRUE
3684,Mill Creek - Sequoia National Forest,CA,27543,US Forest Service,Inventoried Roadless Area,Great Central Valley,7,1328,360,TRUE,364,TRUE
3718,Whiskeytown Shasta-Trinity - Shasta National Forest,CA,127089,US Forest Service,National Recreation Area,Klamath Mountains,15,1537,,FALSE,365,TRUE
1124,Newberry - Deschutes National Forest,OR,27188,US Forest Service,National Forest,East Cascades - Modoc Plateau,20,1656,361,TRUE,366,TRUE
5895,Picayune Strand State Forest,FL,73633,Trustees of the Internal Improvement Trust Fund,State Resource Management Area,Tropical Florida,8,2041,362,TRUE,367,TRUE
5638,Brantley Wildlife Area,NM,28860,State Fish and Wildlife,State Conservation Area,Chihuahuan Desert,12,2670,,FALSE,368,TRUE
5982,Stockton Recreation Area,MO,41090,Unknown,Recreation Area,Ozarks,15,3570,,FALSE,369,TRUE
4882,Econfina Creek Water Management Area,FL,37811,Northwest Florida Water Management District,Watershed Protection Area,East Gulf Coastal Plain,8,3616,,FALSE,370,TRUE
6587,Friendshuh Game Production Area,SD,4544,State Fish and Wildlife,State Conservation Area,Black Hills,7,3629,,FALSE,371,TRUE
6925,State Game Land 074,PA,6568,PA Game Commission,State Land,Western Allegheny Plateau,4,3659,,FALSE,372,TRUE
6412,Chuck Swan State Forest,TN,19546,"State Department of Agriculture, Division of Forestry",State Resource Management Area,Cumberlands And Southern Ridge And Valley,14,3906,,FALSE,373,TRUE
1449,Bitter Creek - Glasgow Field Office,MT,60686,Bureau of Land Management,,Northern Great Plains Steppe,28,3958,,FALSE,374,TRUE
8071,Gull Rock Game Land,NC,20461,NC Wildlife Resources Commission,Conservation Area,Mid-Atlantic Coastal Plain,19,4063,,FALSE,375,TRUE
7530,Gile State Forest,NH,6725,NH Department of Resources & Economic Development,State Forest,Lower New England / Northern Piedmont,7,4161,,FALSE,376,TRUE
4872,Pushmataha Wildlife Management Area,OK,19071,Department of Wildlife Conservation,State Conservation Area,Ouachita Mountains,11,4177,,FALSE,377,TRUE
6553,ALTAMAHA WMA - Altamaha Wildlife Management Area,GA,15879,Georgia Department of Natural Resources,State Conservation Area,South Atlantic Coastal Plain,13,4517,,FALSE,378,TRUE
3730,Sherburne National Wildlife Refuge,MN,30136,U.S. Fish & Wildlife Service,National Wildlife Refuge,Prairie-Forest Border,8,4588,,FALSE,379,TRUE
6623,Fish Creek Wma,NY,4558,NYS Department of Environmental Conservation,Wildlife Management Area,St. Lawrence - Champlain Valley,6,4658,,FALSE,380,TRUE
5217,Copan Wildlife Management Area,OK,15205,Department of Wildlife Conservation,State Conservation Area,Central Shortgrass Prairie,9,4685,,FALSE,381,TRUE
7880,Hamre State Wildlife Management Area,MN,4330,Minnesota Department of Natural Resources,State Conservation Area,Northern Tallgrass Prairie,9,4723,,FALSE,382,TRUE
6422,Monroe Recreation Area,IN,23028,Unknown,Recreation Area,Interior Low Plateau,14,4733,,FALSE,383,TRUE
6462,Cheyenne Bottoms Wildlife Area,KS,18843,State Fish and Wildlife,State Conservation Area,Central Mixed-Grass Prairie,8,4836,,FALSE,384,TRUE
5625,three Forks Conservation Area,FL,47040,St. Johns River Water Management District,State Resource Management Area,Florida Peninsula,8,4877,,FALSE,385,TRUE
6096,Chesapeake Forest Lands,MD,4358,MD Department of Natural Resources,State Forest,Chesapeake Bay Lowlands,11,4883,,FALSE,386,TRUE
