"place_id","name","owner","eco_id","eco_name","states","acres","facets","veg","footprint","gap_min","gap_max","national_rank","ecoregion_rank","score_veg","score_facet_pct_eco","score_evt_pct_eco","score_intact","score_mgmt","score_desig","landscape_score","selection_score","landform_diff_min","veg_diff_min","combined_diff_50_50","complementarity_acres","quality_cutoff_rank","candidate_pool_size","weight_complementarity","weight_facets","weight_veg","weight_intact","weight_facet_pct_eco","weight_evt_pct_eco","weight_mgmt","weight_desig","run_id","run_ts","run_label","rank_top1000"
"900587","Upper Buffalo Wilderness - Ozark National Forest","UFS",17018,"Ozarks","AR","10591","17","8","0.068",1,1,"2352","12","12.1","25.6","11.6","90.7",100,25,"51.97","52.77","7.4","0.5","4.0","4.0",23,113,"0.20","5","5","30","20","20","15","5","728","2026-03-24 16:58:56.934729","iterative_landform_veg_top_pct_floor_v2","818"
"3074","Porcupine Mountains Wilderness State Park","SNR",17009,"Great Lakes","MI","62178","29","28","0.019",3,3,"2649","14","46.6","20.4","25.8","97.4",65,0,"51.36","53.68","13.0","10.2","11.6","11.6",44,219,"0.20","5","5","30","20","20","15","5","702","2026-03-24 16:57:04.873235","iterative_landform_veg_top_pct_floor_v2","819"
"900542","Sparkleberry Swamp","STA",17036,"Mid-Atlantic Coastal Plain","SC","21983","26","14","0.100",3,3,"3031","16","22.4","46.9","18.7","86.3",65,0,"50.61","51.85","4.9","7.4","6.2","6.2",16,79,"0.20","5","5","30","20","20","15","5","690","2026-03-24 16:56:13.813486","iterative_landform_veg_top_pct_floor_v2","820"
"180","Babcock State Park","STA",17008,"Cumberlands And Southern Ridge And Valley","WV","3499","30","12","0.057",3,3,"3790","14","19.0","33.0","14.9","92.2",65,0,"48.79","50.51","16.8","0.3","8.6","8.6",19,94,"0.20","5","5","30","20","20","15","5","709","2026-03-24 16:57:35.2992","iterative_landform_veg_top_pct_floor_v2","821"
"6427","Yellowwood State Forest","SNR",17011,"Interior Low Plateau","IN","5092","26","5","0.121",2,2,"3881","11","6.9","37.6","7.2","83.4",90,0,"48.55","49.31","7.5","0.1","3.8","3.8",16,76,"0.20","5","5","30","20","20","15","5","670","2026-03-24 16:54:45.235236","iterative_landform_veg_top_pct_floor_v2","822"
"5714","Chickasawhatchee Wildlife Mgmt Area","SNR",17032,"East Gulf Coastal Plain","GA","19538","9","11","0.059",2,2,"4530","14","17.2","8.8","12.0","91.9",90,0,"46.33","46.79","2.1","2.5","2.3","2.3",15,75,"0.20","5","5","30","20","20","15","5","681","2026-03-24 16:55:34.954815","iterative_landform_veg_top_pct_floor_v2","823"
"267","Bayou Cocodrie National Wildlife Refuge","FWS",17013,"Mississippi River Alluvial Plain","LA","13613","8","6","0.093",2,2,"4782","11","8.6","7.8","4.1","87.2",90,50,"45.18","45.42","0.7","1.7","1.2","1.2",16,80,"0.20","5","5","30","20","20","15","5","696","2026-03-24 16:56:39.375975","iterative_landform_veg_top_pct_floor_v2","824"
"6388","Caravelle Ranch Wildlife Management Area","STL",17033,"Florida Peninsula","FL","3701","13","14","0.179",2,2,"4941","10","22.4","15.7","18.4","75.4",90,0,"44.41","45.03","1.1","5.1","3.1","3.1",23,112,"0.20","5","5","30","20","20","15","5","669","2026-03-24 16:54:40.747955","iterative_landform_veg_top_pct_floor_v2","825"
"900217","Golden Trout Wilderness - Sequoia National Forest","UFS",17043,"Sierra Nevada","CA","107069","66","26","0.006",1,1,"109","13","43.1","39.3","30.3","99.2",100,25,"63.98","65.32","5.6","7.8","6.7","6.7",28,140,"0.20","5","5","30","20","20","15","5","706","2026-03-24 16:57:22.192493","iterative_landform_veg_top_pct_floor_v2","826"
"3179","Mt. Hillers WSA - Richfield Field Office","BLM",17091,"Colorado Plateau","UT","19268","74","33","0.007",1,1,"135","15","55.2","30.8","36.9","99.0",100,0,"63.12","65.10","7.1","12.6","9.9","9.9",33,161,"0.20","5","5","30","20","20","15","5","663","2026-03-24 16:54:13.777996","iterative_landform_veg_top_pct_floor_v2","827"
